"group","interval","VPNr","AutoFahrt","DatumFahrt","DauerFahrt","L2AnteilFahrt","KmVorFahrt","TiA_overall","TiA_RC","TiA_UP","TiA_F","TiA_IoD","TiA_PtT","TiA_TiA","CTAM_PE","CTAM_EE","CTAM_ATT","CTAM_FC","CTAM_ITU","CTAM_PS","System_sum","NDRTs.NDRT1.","NDRTs.NDRT2.","NDRTs.NDRT3.","NDRTs.NDRT4.","NDRTs.NDRT5.","NDRTs.NDRT6.","NDRTs.NDRT7.","NDRTs.NDRT8.","SubjUeberwachguete.1.","SubjEinflussSetting","L2PrivNutzung","L2Komponenten.Laengs.","L2Komponenten.Quer.","L2Komponenten.Hoff.","Ranking"
"A","A_on_fc",2,"On_VW","2022-03-01 00:00:00",45,45,40,3.6842105263157894,4,4.5,1,5,2.6666666666666665,4,6,5.5,7,4,7,6.5,0.9375,0,0,3,3,1,0,1,0,6,1,NA,NA,NA,NA,NA
"A","A_on_fam",2,"On_VW","2022-03-02 00:00:00",55,55,210,3.8947368421052633,4.166666666666667,5,1,5,2.6666666666666665,4.5,6,7,6.25,6,6,6.5,0.9375,0,0,2,1,0,0,1,0,6,1,NA,NA,NA,NA,NA
"A","A_on_fc",3,"On_VW","2022-03-07 00:00:00",90,90,3,4.2105263157894735,3.6666666666666665,4.25,5,5,4,4.5,7,7,7,6,7,5,0.9230769230769231,3,3,4,2,3,1,3,3,6,0,NA,NA,NA,NA,NA
"A","A_on_fam",3,"On_VW","2022-03-08 00:00:00",50,45,190,3.9473684210526314,3.8333333333333335,3.75,4,4.5,3.6666666666666665,4.5,7,7,7,7,6,4.5,0.9285714285714286,4,3,4,3,3,0,3,3,6,0,4,4,4,NA,NA
"A","A_on_fc",4,"On_VW","2022-03-14 00:00:00",60,55,88,3.6842105263157894,3.6666666666666665,4.75,1,4.5,3,4.5,6,7,5.5,7,4,7,0.8461538461538461,0,2,3,4,4,0,5,3,1,1,NA,NA,NA,NA,NA
"A","A_on_fam",4,"On_VW","2022-03-17 00:00:00",50,45,180,3.0526315789473686,2.8333333333333335,3.75,1,3.5,3,4,5,7,3.25,7,1,5.5,1,0,0,0,3,3,0,4,0,3,1,2,1,3,NA,NA
"A","A_on_fc",5,"On_Porsche","2022-03-14 00:00:00",55,50,40,3.6315789473684212,3,3.75,4,5,3.3333333333333335,4,5.333333333333333,6,4,4.333333333333333,6,5.333333333333333,0.9375,2,1,5,4,4,1,4,1,6,1,NA,NA,NA,NA,NA
"A","A_on_fam",5,"On_Porsche","2022-03-18 00:00:00",45,45,300,4.052631578947368,3.3333333333333335,5,4,5,3.3333333333333335,4.5,6,7,4.75,4.666666666666667,7,6.333333333333333,1,2,0,5,5,4,0,5,1,5,1,4,4,3,NA,NA
"A","A_on_fc",6,"On_Ford","2022-03-21 00:00:00",70,55,35,3.526315789473684,3.8333333333333335,3.75,1,5,3,4,5.666666666666667,5.5,5,5,5.666666666666667,4.666666666666667,1,0,0,2,0,0,0,1,0,5,1,NA,NA,NA,NA,NA
"A","A_on_fam",6,"On_Ford","2022-03-23 00:00:00",75,70,240,4,4.166666666666667,4.5,1,5,3.6666666666666665,5,6,6,6.25,5.666666666666667,6.666666666666667,4.5,0.8666666666666667,0,0,1,0,0,0,1,0,5,1,4,4,4,NA,NA
