"group","interval","VPNr","AutoFahrt","DatumFahrt","DauerFahrt","L2AnteilFahrt","KmVorFahrt","TiA_overall","TiA_RC","TiA_UP","TiA_F","TiA_IoD","TiA_PtT","TiA_TiA","CTAM_PE","CTAM_EE","CTAM_ATT","CTAM_FC","CTAM_ITU","CTAM_PS","System_sum","NDRTs.NDRT1.","NDRTs.NDRT2.","NDRTs.NDRT3.","NDRTs.NDRT4.","NDRTs.NDRT5.","NDRTs.NDRT6.","NDRTs.NDRT7.","NDRTs.NDRT8.","SubjUeberwachguete.1.","SubjEinflussSetting","L2PrivNutzung","L2Komponenten.Laengs.","L2Komponenten.Quer.","L2Komponenten.Hoff.","Ranking","Vertrauen.TiA1.","Vertrauen.TiA2.","Vertrauen.TiA3.","Vertrauen.TiA4.","Vertrauen.TiA5.","Vertrauen.TiA6.","Vertrauen.TiA7.","Vertrauen.TiA8.","Vertrauen.TiA9.","Vertrauen.TiA10.","Vertrauen.TiA11.","Vertrauen.TiA12.","Vertrauen.TiA13.","Vertrauen.TiA14.","Vertrauen.TiA15.","Vertrauen.TiA16.","Vertrauen.TiA17.","Vertrauen.TiA18.","Vertrauen.TiA19.","Akzeptanz.PE1.","Akzeptanz.PE3.","Akzeptanz.PE4.","Akzeptanz.EE1.","Akzeptanz.EE2.","Akzeptanz.EE3.","Akzeptanz.EE4.","Akzeptanz.ATT1.","Akzeptanz.ATT2.","Akzeptanz.ATT3.","Akzeptanz.ATT4.","Akzeptanz.FC1.","Akzeptanz.FC2.","Akzeptanz.FC3.","Akzeptanz.ITU1.","Akzeptanz.ITU2.","Akzeptanz.ITU3.","Akzeptanz.PS1.","Akzeptanz.PS2.","Akzeptanz.PS3.","Akzeptanz.PS4.","Akzeptanz.PS5.","Akzeptanz.PS6.","System01","System02","System03","System04","System05","System06","System07","System08","System09","System10","System11","System12","System13","System14","System15","System16","System_u_01","System_u_02","System_u_03","System_u_04","System_u_05","System_u_06","System_u_07","System_u_08","System_u_09","System_u_10","System_u_11","System_u_12","System_u_13","System_u_14","System_u_15","System_u_16","Systemverstaendnis.1.","Systemverstaendnis.2.","Systemverstaendnis.3.","Systemverstaendnis.4.","Systemverstaendnis.5.","Systemverstaendnis.6.","Systemverstaendnis.7.","Systemverstaendnis.8.","Systemverstaendnis.9.","Systemverstaendnis.10.","Systemverstaendnis.11.","Systemverstaendnis.12.","Systemverstaendnis.13.","Systemverstaendnis.14.","Systemverstaendnis.15.","Systemverstaendnis.16.","MatrixNDRTsFreitext.0_SQ001.","MatrixNDRTsFreitext.1_SQ001.","MatrixNDRTsFreitext.2_SQ001.","MatrixNDRTsFreitext.3_SQ001.","MatrixNDRTsFreitext.4_SQ001.","MatrixNDRTsFreitext.5_SQ001.","SubjEinflussSettKomm","Kommentare","SonstKommentare","AOnVP","AOnFzg","AOffVP","AOffFzg","BOffVP","BOffFzg","VLProtSonst","Trigger","FahrerTrans","SystemTrans","DMS","HMI","Systemverhalten","L2BewertungKomm","Sonstiges","Studie"
"A","A_on_fc",2,"On_VW","2022-03-01 00:00:00",45,45,40,3.6842105263157894,4,4.5,1,5,2.6666666666666665,4,6,5.5,7,4,7,6.5,0.9375,0,0,3,3,1,0,1,0,6,1,NA,NA,NA,NA,NA,5,5,1,5,2,4,5,5,4,5,4,4,4,4,2,4,1,2,4,7,4,7,4,7,7,4,7,7,7,7,4,4,4,7,7,7,7,4,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,"",NA,NA,"","","","","Schwachstellen: nicht alle Geschw.-Schilder korrekt erkannt, 
Beschilderung der Abzweigespur, parallelen Fahrbahn benutzt, 
manchmal abgebremst, ohne für mich erkennbaren Grund.","Bemerke, dass sich Schlampigkeiten bei mir eingeschlichen haben. Blinke bei Spurwechsel nicht immer rechtzeitig, so dass das System bei Spurwechsel reagiert.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","A_on_fam",2,"On_VW","2022-03-02 00:00:00",55,55,210,3.8947368421052633,4.166666666666667,5,1,5,2.6666666666666665,4.5,6,7,6.25,6,6,6.5,0.9375,0,0,2,1,0,0,1,0,6,1,NA,NA,NA,NA,NA,5,5,1,5,2,5,5,5,5,5,5,2,4,4,2,5,1,4,4,7,4,7,7,7,7,7,7,4,7,7,7,7,4,7,7,4,7,7,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,"",NA,NA,"","","","","Am Ende von Wanderbaustellen wird die Geschwindigkeitsbeschränkung meist nicht durch Schilder aufgehoben. Keine Chance für das System. ","","","","","","","","","alles gesagt;","einfache Bedienung - im Prinzip immer nur der eine Knopf;","hands-off warnings kamen, sonst nichts;","hat gut und zuverlässig funktioniert, nur wenige Male;","im zu erwartenden Bereich. Nicht zu viel und nicht zu wenig;","Zusammenspiel aus Karteninformation und Erkennungssoftware für Geschwindigkeitserkennung nicht gut. Insbesondere bei Wanderbaustellen keine Aktualisierung oder bei abzweigenden Spuren die Geschwindigkeit für sich übernimmt;
Sicherheitsabstand passt insgesamt, aber bei Überholvorgängen führt es zu Problemen;
Betonbrücke als vorausfahrendes Fahrzeug erkannt;
Erkennt keine roten Ampeln;
vorausschauendes Fahren ist noch verbesserungsfähig (zB Stauende): persönliches Sicherheitsempfinden anders als die Programmierer eingestellt haben;
vibrieren bei Spurverlassenswarner sehr sanft (angenehm);","","insgesamt positiv überrascht;
mit der Zeit wird man entspannter und unkonzentrierter;
System will, dass man erst blinkt - da hatte sich bei mir das über die Jahre eingeschlichen;",""
"A","A_on_fc",3,"On_VW","2022-03-07 00:00:00",90,90,3,4.2105263157894735,3.6666666666666665,4.25,5,5,4,4.5,7,7,7,6,7,5,1,3,3,4,2,3,1,3,3,6,0,NA,NA,NA,NA,NA,4,5,5,5,4,5,4,5,5,3,4,4,3,4,3,4,5,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,4,4,1,7,7,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,2,2,"",NA,NA,"","","","Nicht ständig was verändert an dem L2, sondern stetiger durchgefahren ","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","A_on_fam",3,"On_VW","2022-03-08 00:00:00",50,45,190,3.9473684210526314,3.8333333333333335,3.75,4,4.5,3.6666666666666665,4.5,7,7,7,7,6,4.5,0.8125,4,3,4,3,3,0,3,3,6,0,4,4,4,NA,NA,5,4,4,4,3,4,3,5,5,3,4,4,4,4,3,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,4,7,4,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,2,1,1,1,2,1,"",NA,NA,"","","","Weniger mit dem System herum „gespielt“","","","","","","","","","sehr routiniert und sichere Fahrweise","Fahrzeug bremst automatisch runter bei Tempolimits --> Falscherkennung; LKW ausgeschert und manuell gebremst","-","durchgehend ohne Probleme gefahren; Modi immer verständlich, kritische Situation 1x bei ausscherendem LKW","Warnmeldung wie erwartet, hat das System 1x dahingehend provoziert","vom Start zu Ende deutlich intuitiver, alles okay, bekannt und übersichtlich","sehr positiv und vetrauenswürdig, Spurhaltung top, einscherender LKW als gefährlich eingestuft, automatischer Spurwechsel wünschenswert bei blinken durch Fahrer, Spurwechsel aber problemlos möglich","-","-",""
"A","A_on_fc",4,"On_VW","2022-03-14 00:00:00",60,55,88,3.6842105263157894,3.6666666666666665,4.75,1,4.5,3,4.5,6,7,5.5,7,4,7,0.6875,0,2,3,4,4,0,5,3,1,1,NA,NA,NA,NA,NA,5,5,1,4,1,5,4,5,4,4,5,4,2,5,2,5,1,4,4,7,4,7,7,7,7,7,7,1,7,7,7,7,7,4,4,4,7,7,7,7,7,7,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2,2,1,1,2,1,"",NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","A_on_fam",4,"On_VW","2022-03-17 00:00:00",50,45,180,3.0526315789473686,2.8333333333333335,3.75,1,3.5,3,4,5,7,3.25,7,1,5.5,0.875,0,0,0,3,3,0,4,0,3,1,2,1,3,NA,NA,3,4,1,3,1,4,3,4,4,4,4,4,1,4,1,4,1,4,4,4,4,7,7,7,7,7,4,1,4,4,7,7,7,1,1,1,4,1,7,7,7,7,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,2,2,1,1,0,1,"",NA,NA,"","","","","","","","","","","","","16.03.22 Während Fahrt 3x Trigger Knopf gedrückt, obwohl kein Fahrtenblock gestartet wurde","1. A9 Richtung München Dreieck Holledau. Aus Baustelle raus -> 60er Schild von Ausfahrt erkannt -> Vollbremsung gefühlt -> Proband hat Gas gegeben
2. Block 2: Schlechte Schildererkennung","Autobahnausfahrt nicht vertraut, dass Fahrzeug selber bremst -> Proband hat Abfahrt meistens manuell oder mit 60 km/h in L2 durchgeführt
Nicht vertraut, dass Fahrzeug bei roter Ampel hinter anderem stehendem Fahrzeug abbremst -> Wechsel in manuell","Kann sich an keine Situation erinnern","Im Stau einmal beide Hände vom Lenkrad -> Warnung -> Proband hat wieder ans Lenkrad gegriffen
Sonst immer mindestens eine Hand am Lenkrad","Alles verständlich, einfach, schnell zu gewöhnen","Grundsätzlich gut
Zu wenig Zeit zu probieren
Es war ein ständiges Gas geben / bremsen, da größter Abstand eingestellt
Proband hat sich daran gewöhnt noch weiter vorausschauend zu fahren -> frühere Spurwechsel als manuell
Wenn wenig Verkehr super, im dichten Verkehr zu ruckelnd
Beim Überholen beschleunigt das Fahrzeug erst wenn komplett auf neuer Spur -> wünscht sich frühere Beschleunigung","","",""
"A","A_on_fc",5,"On_Porsche","2022-03-14 00:00:00",55,50,40,3.6315789473684212,3,3.75,4,5,3.3333333333333335,4,5.333333333333333,6,4,4.333333333333333,6,5.333333333333333,0.9375,2,1,5,4,4,1,4,1,6,1,NA,NA,NA,NA,NA,4,5,4,5,2,4,4,5,4,3,4,4,2,4,1,2,4,4,4,6,5,5,5,6,6,7,7,2,3,4,5,7,1,6,6,6,6,5,5,5,6,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,"",NA,NA,"","","","","Die Steuerung des Systems ist sehr aggressiv, d.h. Das Fahrzeug beschleunigt extrem stark, wenn sich die Situation ändert. Empfinde ich persönlich störend. 

Bei Fahrten auf der rechten Spur finde ich es unangenehm, wenn ein Fahrzeug auf der Mittel bzw. Linken Spur langsamer fährt als man selbst. Da man das System selbst deaktivieren muss, um den anderen Verkehrsteilnehmer nicht rechts zu überholen.","gute Einarbeitung in das Fahrzeug, die Bedienung, den benötigten Ablauf der Studie ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","A_on_fam",5,"On_Porsche","2022-03-18 00:00:00",45,45,300,4.052631578947368,3.3333333333333335,5,4,5,3.3333333333333335,4.5,6,7,4.75,4.666666666666667,7,6.333333333333333,1,2,0,5,5,4,0,5,1,5,1,4,4,3,NA,NA,4,5,4,5,2,5,5,5,4,4,5,4,2,5,1,5,4,4,4,6,5,7,7,7,7,7,7,2,5,5,6,7,1,7,7,7,7,6,5,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,"",NA,NA,"","","","","Sehr angenehm im Stadverkehr bei Start&Stop Verkehrslage auf dem mittleren Ring","","","","","","","","","","","","habe häufiger H-off Warnings bekommen, war nervig. ","","hat rechts überholt; hat zu stark Gas gegeben","auf mittlerem Ring war es gerade sehr angenehm, dass er automatisch runtebremst und wieder anfährt, auf jeden Fall eine Entlastung","",""
"A","A_on_fc",6,"On_Ford","2022-03-21 00:00:00",70,55,35,3.526315789473684,3.8333333333333335,3.75,1,5,3,4,5.666666666666667,5.5,5,5,5.666666666666667,4.666666666666667,0.9375,0,0,2,0,0,0,1,0,5,1,NA,NA,NA,NA,NA,5,4,1,5,2,4,5,5,4,4,4,4,4,4,2,2,1,3,4,5,6,6,5,6,6,5,6,5,5,4,6,5,4,6,5,6,6,4,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,1,1,0,1,"",NA,NA,"","","","","Aktion des Systems in einer langen Baustelle war zumindest anfänglich unsicher.
Ich hatte den Eindruck, das Systems neigte hin und wieder zu einer Fahrt eher an den linken Rand zu fahren","Das Hineinfinden in die Systematik fiel relativ leicht, die Bedienung während des Fahrens wird sich wohl noch verbessern.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","A_on_fam",6,"On_Ford","2022-03-23 00:00:00",75,70,240,4,4.166666666666667,4.5,1,5,3.6666666666666665,5,6,6,6.25,5.666666666666667,6.666666666666667,4.5,0.8125,0,0,1,0,0,0,1,0,5,1,4,4,4,NA,NA,5,5,1,5,1,5,4,5,5,4,5,5,4,5,2,4,1,5,5,7,6,5,5,6,7,6,7,6,6,6,7,6,4,7,6,7,7,4,2,7,6,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,2,0,1,1,0,1,"",NA,NA,"","","","","Mit mehr Erfahrung traue ich dem System mehr zu, verstehe es besser.
Interessant wäre es zu erfahren und erleben, wie das System funktioniert, wenn ich mit Navigation ein Ziel ansteuere.","","","","","","","","Nein, VL-Protokoll von H-On Übergabe ist in H-off Interview drin","Hat glaub ich 3x TriggerKnopf gedrückt, vor allen 3 Fahrten die er gemacht hat. ","Man fährt ja in Garage los und fährt dann bis zur Autobahn (2-3 km). Auf Autobahn sofort 3x gedrückt und dann bei Rückkehr von Autobahn auch nichts mehr gedrückt. Was soll ich da deaktiviert haben? ","Hats von selbst gemacht wenn Seitenbegrenzung weg war (ich nie abgeworfen). Wenn z.B. Seitenbegrenzung weg war bricht er halt ab und mit Baustellen hat er Probleme. Dann gibt er Ton und in Anzeige auch. ","1 oder 2 Mal passiert, da hatte ich 1 Hand für längere Zeit auf Bein gelegt. Aber dann weiß man ja dass mans nicht darf, weil man beobachtet wird. ","Nein gibt nichts","Wenn er auf äußerer Spur links war tendiert er stark zur Leitplanke hin, wenn er auf rechter Spur war tendiert er zum Randstreifen. So würde ich nicht fahren. Am Anfang hat man da Angst aber gewöhnt sich dran. Beim dritten Fahren war es dann klar. Mit Zeit gewinnt man Vertrauen i nSystem, dass er wirklich immer bremst. ","Insgesamt sehr positiver Eindruck. In meinem privaten Fahrzeug gibts Geschwindigkeitseinsteller, das würde ich nicht nutzen. Das System hier in der Studie würde ich nutzen. ","",""
