"group","VPNr","Alter","Geschlecht","Haendigkeit","Sehschwaeche","Farbfehlsichtigkeit","Hoerschwaeche","Fuehrerschein","Fahrtfrequenz","Fahrtstrecke","FrequenzAutobahn","StreckeAutobahn","KenntnisAS.CC.","KenntnisAS.ACC.","KenntnisAS.Spurhalte.","KenntnisAS.Stauassistent.","KenntnisAS.ParkAssist.","KenntnisAS.Teilautomation.","DSQ_Speed","DSQ_Calmness","DSQ_SocialResistance","DSQ_Focus","DSQ_Planning","DSQ_Deviance","ATIS","FiltHerstellerCC.VW.","FiltHerstellerCC.Opel.","FiltHerstellerCC.Mercedes.","FiltHerstellerCC.Ford.","FiltHerstellerCC.BMW.","FiltHerstellerCC.Audi.","FiltHerstellerCC.Skoda.","FiltHerstellerCC.Renault.","FiltHerstellerCC.Toyota.","FiltHerstellerCC.Seat.","FiltHerstellerCC.Hyundai.","FiltHerstellerCC.Fiat.","FiltHerstellerCC.Nissan.","FiltHerstellerCC.Peugeot.","FiltHerstellerCC.Mazda.","FiltHerstellerCC.Kia.","FiltHerstellerCC.Dacia.","FiltHerstellerCC.Citroen.","FiltHerstellerCC.Volvo.","FiltHerstellerCC.Mitsubishi.","FiltHerstellerCC.other.","FiltHerstellerACC.VW.","FiltHerstellerACC.Opel.","FiltHerstellerACC.Mercedes.","FiltHerstellerACC.Ford.","FiltHerstellerACC.BMW.","FiltHerstellerACC.Audi.","FiltHerstellerACC.Skoda.","FiltHerstellerACC.Renault.","FiltHerstellerACC.Toyota.","FiltHerstellerACC.Seat.","FiltHerstellerACC.Hyundai.","FiltHerstellerACC.Fiat.","FiltHerstellerACC.Nissan.","FiltHerstellerACC.Peugeot.","FiltHerstellerACC.Mazda.","FiltHerstellerACC.Kia.","FiltHerstellerACC.Dacia.","FiltHerstellerACC.Citroen.","FiltHerstellerACC.Volvo.","FiltHerstellerACC.Mitsubishi.","FiltHerstellerACC.other.","FiltHerstellerSpurha.VW.","FiltHerstellerSpurha.Opel.","FiltHerstellerSpurha.Mercedes.","FiltHerstellerSpurha.Ford.","FiltHerstellerSpurha.BMW.","FiltHerstellerSpurha.Audi.","FiltHerstellerSpurha.Skoda.","FiltHerstellerSpurha.Renault.","FiltHerstellerSpurha.Toyota.","FiltHerstellerSpurha.Seat.","FiltHerstellerSpurha.Hyundai.","FiltHerstellerSpurha.Fiat.","FiltHerstellerSpurha.Nissan.","FiltHerstellerSpurha.Peugeot.","FiltHerstellerSpurha.Mazda.","FiltHerstellerSpurha.Kia.","FiltHerstellerSpurha.Dacia.","FiltHerstellerSpurha.Citroen.","FiltHerstellerSpurha.Volvo.","FiltHerstellerSpurha.Mitsubishi.","FiltHerstellerSpurha.other.","FiltHerstellerStauas.VW.","FiltHerstellerStauas.Opel.","FiltHerstellerStauas.Mercedes.","FiltHerstellerStauas.Ford.","FiltHerstellerStauas.BMW.","FiltHerstellerStauas.Audi.","FiltHerstellerStauas.Skoda.","FiltHerstellerStauas.Renault.","FiltHerstellerStauas.Toyota.","FiltHerstellerStauas.Seat.","FiltHerstellerStauas.Hyundai.","FiltHerstellerStauas.Fiat.","FiltHerstellerStauas.Nissan.","FiltHerstellerStauas.Peugeot.","FiltHerstellerStauas.Mazda.","FiltHerstellerStauas.Kia.","FiltHerstellerStauas.Dacia.","FiltHerstellerStauas.Citroen.","FiltHerstellerStauas.Volvo.","FiltHerstellerStauas.Mitsubishi.","FiltHerstellerStauas.other.","FiltHerstellerParkAs.VW.","FiltHerstellerParkAs.Opel.","FiltHerstellerParkAs.Mercedes.","FiltHerstellerParkAs.Ford.","FiltHerstellerParkAs.BMW.","FiltHerstellerParkAs.Audi.","FiltHerstellerParkAs.Skoda.","FiltHerstellerParkAs.Renault.","FiltHerstellerParkAs.Toyota.","FiltHerstellerParkAs.Seat.","FiltHerstellerParkAs.Hyundai.","FiltHerstellerParkAs.Fiat.","FiltHerstellerParkAs.Nissan.","FiltHerstellerParkAs.Peugeot.","FiltHerstellerParkAs.Mazda.","FiltHerstellerParkAs.Kia.","FiltHerstellerParkAs.Dacia.","FiltHerstellerParkAs.Citroen.","FiltHerstellerParkAs.Volvo.","FiltHerstellerParkAs.Mitsubishi.","FiltHerstellerParkAs.other.","FiltHerstellerTeilau.VW.","FiltHerstellerTeilau.Opel.","FiltHerstellerTeilau.Mercedes.","FiltHerstellerTeilau.Ford.","FiltHerstellerTeilau.BMW.","FiltHerstellerTeilau.Audi.","FiltHerstellerTeilau.Skoda.","FiltHerstellerTeilau.Renault.","FiltHerstellerTeilau.Toyota.","FiltHerstellerTeilau.Seat.","FiltHerstellerTeilau.Hyundai.","FiltHerstellerTeilau.Fiat.","FiltHerstellerTeilau.Nissan.","FiltHerstellerTeilau.Peugeot.","FiltHerstellerTeilau.Mazda.","FiltHerstellerTeilau.Kia.","FiltHerstellerTeilau.Dacia.","FiltHerstellerTeilau.Citroen.","FiltHerstellerTeilau.Volvo.","FiltHerstellerTeilau.Mitsubishi.","FiltHerstellerTeilau.other.","Fahrstil.DSQ1.","Fahrstil.DSQ2.","Fahrstil.DSQ3.","Fahrstil.DSQ4.","Fahrstil.DSQ5.","Fahrstil.DSQ6.","Fahrstil.DSQ7.","Fahrstil.DSQ8.","Fahrstil.DSQ9.","Fahrstil.DSQ10.","Fahrstil.DSQ11.","Fahrstil.DSQ12.","Fahrstil.DSQ13.","Fahrstil.DSQ14.","Fahrstil.DSQ15.","Technikaffinitaet.ATIS1.","Technikaffinitaet.ATIS2.","Technikaffinitaet.ATIS3.","Technikaffinitaet.ATIS4.","Technikaffinitaet.ATIS5.","Technikaffinitaet.ATIS6.","Technikaffinitaet.ATIS7.","Technikaffinitaet.ATIS8.","Technikaffinitaet.ATIS9."
"A",2,70,0,0,0,0,0,1969,4,2,3,2,3,2,1,1,2,1,5,13,4,15,9,4,5,"","","","","","","","","","","","","","Y","","","","","","","Saab, Volvo","","","","","","","",NA,"","","","",NA,"Y",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"Y",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,1,2,1,1,1,4,1,6,6,3,2,4,3,1,6,6,5,5,5,4,6,5,3
"A",3,29,0,0,0,0,0,2011,4,2,3,1,3,1,1,0,1,1,8,14,7,12,7,5,3.5555555555555554,"Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",3,3,2,2,4,2,3,3,4,4,4,5,5,3,2,4,3,4,4,4,3,3,4,3
"A",4,43,1,0,0,0,0,1996,4,2,3,2,2,1,1,1,1,1,4,17,2,18,12,5,5.888888888888889,"","","Y","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,1,2,6,1,6,1,6,6,6,1,6,4,1,6,6,6,6,6,6,6,6,5
"A",5,28,0,0,0,0,0,2011,2,2,2,2,3,2,1,1,1,1,8,13,9,14,2,7,5.555555555555555,"Y","Y","Y","","Y","Y","Y","","","","","Y","","","","","","","Y","","","Y","Y","Y","","Y","Y","Y",NA,"","","","Y",NA,"",NA,"",NA,"","Y",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,4,2,1,1,1,3,5,4,5,5,6,1,6,1,6,5,5,6,6,6,5,6,5
"A",6,75,0,0,1,0,0,1964,2,1,2,1,1,0,0,0,0,0,6,13,5,16,8,6,3.111111111111111,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,2,2,3,4,2,3,1,5,5,6,2,3,4,2,4,3,2,4,3,3,3,3,3
"A",7,66,0,0,1,0,0,1974,3,2,3,2,1,0,0,0,0,0,4,18,8,10,6,7,3.3333333333333335,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,1,1,6,1,1,2,5,4,1,3,2,6,1,4,4,4,3,3,3,3,3,3
"A",8,26,0,0,0,0,0,2012,4,3,4,3,2,1,1,1,1,1,10,16,5,15,9,7,5,"","","Y","","Y","Y","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",4,4,2,1,6,3,4,2,6,4,5,1,3,6,1,6,6,2,5,6,4,6,4,6
"A",9,31,0,0,1,0,0,2007,3,2,3,2,3,2,2,1,1,1,4,18,3,17,6,4,4.888888888888889,"Y","Y","Y","","Y","Y","","","","","","","","","","","","","","","","Y","","","","Y","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","Y","Y","",NA,"Y","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",1,2,1,1,6,1,5,1,6,6,5,3,2,3,1,5,5,6,5,4,6,5,5,3
"A",10,62,1,0,1,0,0,1978,4,2,2,2,1,0,1,0,1,0,7,15,12,15,7,6,1.7777777777777777,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,4,1,1,4,2,1,6,5,5,5,2,2,5,1,1,2,2,2,1,1,4,1,2
"A",11,31,0,0,1,0,0,2007,2,2,2,2,3,2,1,1,1,0,6,17,4,12,11,4,5.111111111111111,"","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","",NA,"","","","",NA,"",NA,"",NA,"","",NA,"","","","",NA,"","","",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,NA,"",NA,"",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,"",NA,"",NA,NA,"",2,3,1,1,6,2,5,2,5,5,2,1,5,3,1,5,5,6,5,5,5,5,6,4
