"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Einleitung","Probandencode[Vorname]","Probandencode[Strasse]","Probandencode[Tag]","AutoFahrt","Fahrtblock","DatumFahrt","DauerFahrt","L2AnteilFahrt","KmVorFahrt","DefGesamtsystem1","Vertrauen[TiA1]","Vertrauen[TiA2]","Vertrauen[TiA3]","Vertrauen[TiA4]","Vertrauen[TiA5]","Vertrauen[TiA6]","Vertrauen[TiA7]","Vertrauen[TiA8]","Vertrauen[TiA9]","Vertrauen[TiA10]","Vertrauen[TiA11]","Vertrauen[TiA12]","Vertrauen[TiA13]","Vertrauen[TiA14]","Vertrauen[TiA15]","Vertrauen[TiA16]","Vertrauen[TiA17]","Vertrauen[TiA18]","Vertrauen[TiA19]","DefGesamtsystem2","Akzeptanz[PE1]","Akzeptanz[PE3]","Akzeptanz[PE4]","Akzeptanz[EE1]","Akzeptanz[EE2]","Akzeptanz[EE3]","Akzeptanz[EE4]","Akzeptanz[ATT1]","Akzeptanz[ATT2]","Akzeptanz[ATT3]","Akzeptanz[ATT4]","Akzeptanz[FC1]","Akzeptanz[FC2]","Akzeptanz[FC3]","Akzeptanz[ITU1]","Akzeptanz[ITU2]","Akzeptanz[ITU3]","Akzeptanz[PS1]","Akzeptanz[PS2]","Akzeptanz[PS3]","Akzeptanz[PS4]","Akzeptanz[PS5]","Akzeptanz[PS6]","DefGesamtsystem3","Systemverstaendnis[1]","Systemverstaendnis[2]","Systemverstaendnis[3]","Systemverstaendnis[4]","Systemverstaendnis[5]","Systemverstaendnis[6]","Systemverstaendnis[7]","Systemverstaendnis[8]","Systemverstaendnis[9]","Systemverstaendnis[10]","Systemverstaendnis[11]","Systemverstaendnis[12]","Systemverstaendnis[13]","Systemverstaendnis[14]","Systemverstaendnis[15]","Systemverstaendnis[16]","DefGesamtsystem4","NDRTs[NDRT1]","NDRTs[NDRT2]","NDRTs[NDRT3]","NDRTs[NDRT4]","NDRTs[NDRT5]","NDRTs[NDRT6]","NDRTs[NDRT7]","NDRTs[NDRT8]","MatrixNDRTsFreitext[0_SQ001]","MatrixNDRTsFreitext[1_SQ001]","MatrixNDRTsFreitext[2_SQ001]","MatrixNDRTsFreitext[3_SQ001]","MatrixNDRTsFreitext[4_SQ001]","MatrixNDRTsFreitext[5_SQ001]","DefGesamtsystem5","SubjUeberwachguete[1]","SubjEinflussSetting","SubjEinflussSettKomm","Kommentare","SonstKommentare","interviewtime","groupTime6715","EinleitungTime","ProbandencodeTime","AutoFahrtTime","FahrtblockTime","DatumFahrtTime","DauerFahrtTime","L2AnteilFahrtTime","KmVorFahrtTime","groupTime6886","DefGesamtsystem1Time","VertrauenTime","groupTime6887","DefGesamtsystem2Time","AkzeptanzTime","groupTime6888","DefGesamtsystem3Time","SystemverstaendnisTime","groupTime6889","DefGesamtsystem4Time","NDRTsTime","MatrixNDRTsFreitextTime","groupTime6890","DefGesamtsystem5Time","SubjUeberwachgueteTime","SubjEinflussSettingTime","SubjEinflussSettKommTime","KommentareTime","SonstKommentareTime"
"13","2022-02-23 17:47:16","6","de","128515239","2022-02-23 17:23:15","2022-02-23 17:47:16","","Ka","Rh","09","1","1","2022-02-23 00:00:00","65","60","10","","4","4","4","4","3","4","2","4","4","1","4","4","4","4","1","4","4","4","4","","7","7","7","7","4","4","7","7","7","7","7","7","7","7","7","7","7","1","1","1","7","7","4","","1","1","1","1","0","1","1","1","0","0","1","1","1","1","0","1","","0","0","4","3","3","0","3","1","","","","","","","","6","1","","Das System hat die durch die Schilder vorgegebene Höchstgeschwindigkeit nach einem Bremsvorgang durch die Fusstaste nicht wieder aufgenommen. Ich musste sie Händisch wieder einstellen.","","1442.95","160.73","","","","","","","","","277.7","","","316.37","","","283.48","","","150.47","","","","254.2","","","","","",""
"14","2022-02-24 15:45:57","6","de","2020254802","2022-02-24 15:27:42","2022-02-24 15:45:57","","Ka","Rh","09","1","2","2022-02-24 00:00:00","120","100","120","","4","4","4","4","4","3","1","4","4","0","3","4","4","4","0","0","4","4","4","","7","7","7","7","7","4","4","7","7","7","7","7","7","7","7","7","7","1","1","1","7","7","4","","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","","0","0","5","3","3","0","3","2","","","","","","","","6","1","","Die Geschwindigkeit wurde ohne Anzeige eines Verkehrszeichens auf 60 km/h reduziert, obwohl  die Richtgeschwindigkeit galt.","","1095.16","123.29","","","","","","","","","234.6","","","227.4","","","211.25","","","108.32","","","","190.3","","","","","",""
"22","2022-03-01 12:01:16","6","de","2060851033","2022-03-01 11:41:00","2022-03-01 12:01:16","","IA","SC","05","1","1","2022-03-01 00:00:00","45","45","40","","4","4","0","4","3","3","0","4","3","0","3","3","3","3","3","1","0","1","3","","7","4","7","4","7","7","4","7","7","7","7","4","4","4","7","7","7","1","4","1","7","7","7","","1","1","1","0","0","1","1","0","0","0","0","0","1","1","0","1","","0","0","3","3","1","0","1","0","","","","","","","","6","1","","Schwachstellen: nicht alle Geschw.-Schilder korrekt erkannt, 
Beschilderung der Abzweigespur, parallelen Fahrbahn benutzt, 
manchmal abgebremst, ohne für mich erkennbaren Grund.","Bemerke, dass sich Schlampigkeiten bei mir eingeschlichen haben. Blinke bei Spurwechsel nicht immer rechtzeitig, so dass das System bei Spurwechsel reagiert.","1216.15","164.52","","","","","","","","","206.22","","","216.31","","","88.57","","","94.33","","","","446.2","","","","","",""
"25","2022-03-02 15:21:42","6","de","1245197768","2022-03-02 15:10:25","2022-03-02 15:21:42","","IA","SC","05","1","2","2022-03-02 00:00:00","55","55","210","","4","4","0","4","3","4","0","4","4","0","4","1","3","3","3","0","0","3","3","","7","4","7","7","7","7","7","7","4","7","7","7","7","4","7","7","4","1","1","1","7","7","4","","1","1","1","0","0","1","1","0","0","0","0","0","1","1","0","1","","0","0","2","1","0","0","1","0","","","","","","","","6","1","","Am Ende von Wanderbaustellen wird die Geschwindigkeitsbeschränkung meist nicht durch Schilder aufgehoben. Keine Chance für das System. ","","678.34","188.49","","","","","","","","","130.52","","","117.87","","","72.14","","","55.85","","","","113.47","","","","","",""
"34","2022-03-07 20:18:18","6","de","1084921785","2022-03-07 20:02:03","2022-03-07 20:18:18","","RA","MÜ","01","1","1","2022-03-07 00:00:00","90","90","3","","3","4","4","4","1","4","1","4","4","2","3","3","2","3","2","1","4","3","3","","7","7","7","7","7","7","7","7","7","7","7","7","7","4","7","7","7","1","4","4","1","7","7","","2","1","0","0","0","1","1","0","0","0","0","1","1","1","2","2","","3","3","4","2","3","1","3","3","","","","","","","","6","0","Nicht ständig was verändert an dem L2, sondern stetiger durchgefahren ","","","977.38","520.63","","","","","","","","","99.32","","","135.58","","","92.19","","","62.83","","","","66.83","","","","","",""
"36","2022-03-08 18:12:12","6","de","871551095","2022-03-08 17:57:07","2022-03-08 18:12:12","","RA","MÜ","01","1","2","2022-03-08 00:00:00","50","45","190","","4","3","3","3","2","3","2","4","4","2","3","3","3","3","2","1","3","3","3","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","1","4","4","7","4","1","","1","1","1","1","0","1","1","0","0","0","2","1","1","1","2","1","","4","3","4","3","3","0","3","3","","","","","","","","6","0","Weniger mit dem System herum „gespielt“","","","906.43","570.05","","","","","","","","","90.72","","","71.31","","","94.32","","","52.35","","","","27.68","","","","","",""
"40","2022-03-14 13:18:40","6","de","44783901","2022-03-14 13:04:21","2022-03-14 13:18:40","","IN","LU","07","1","1","2022-03-14 00:00:00","60","55","88","","4","4","0","3","4","4","1","4","3","1","4","3","1","4","3","0","0","3","3","","7","4","7","7","7","7","7","7","1","7","7","7","7","7","4","4","4","1","1","1","7","7","7","","1","0","0","0","0","1","1","0","0","0","2","2","1","1","2","1","","0","2","3","4","4","0","5","3","","","","","","","","1","1","","","","861.76","319.8","","","","","","","","","158.7","","","144.58","","","113.91","","","89.23","","","","35.54","","","","","",""
"41","2022-03-14 21:59:35","6","de","1988732027","2022-03-14 18:28:51","2022-03-14 21:59:35","","te","Mi","08","3","1","2022-03-14 00:00:00","55","50","40","","3","4","3","4","3","3","1","4","3","2","3","3","1","3","4","3","3","3","3","","6","5","5","5","6","6","7","7","2","3","4","5","7","1","6","6","6","2","3","3","5","6","5","","1","1","1","0","0","1","1","0","0","0","0","0","1","1","0","1","","2","1","5","4","4","1","4","1","","","","","","","","6","1","","Die Steuerung des Systems ist sehr aggressiv, d.h. Das Fahrzeug beschleunigt extrem stark, wenn sich die Situation ändert. Empfinde ich persönlich störend. 

Bei Fahrten auf der rechten Spur finde ich es unangenehm, wenn ein Fahrzeug auf der Mittel bzw. Linken Spur langsamer fährt als man selbst. Da man das System selbst deaktivieren muss, um den anderen Verkehrsteilnehmer nicht rechts zu überholen.","gute Einarbeitung in das Fahrzeug, die Bedienung, den benötigten Ablauf der Studie ","1578.61","164.63","","","","","","","","","517.1","","","467.8","","","99.45","","","80.77","","","","248.86","","","","","",""
"42","2022-03-17 16:16:51","6","de","819510054","2022-03-17 16:05:41","2022-03-17 16:16:51","","IN","LU","07","1","2","2022-03-17 00:00:00","50","45","180","","2","3","0","2","4","3","2","3","3","1","3","3","0","3","4","1","0","3","3","","4","4","7","7","7","7","7","4","1","4","4","7","7","7","1","1","1","4","7","1","7","7","7","","1","1","1","0","0","1","1","0","0","0","2","2","1","1","0","1","","0","0","0","3","3","0","4","0","","","","","","","","3","1","","","","673.08","109.61","","","","","","","","","183.69","","","148.39","","","132.52","","","56.37","","","","42.5","","","","","",""
"46","2022-03-18 16:39:21","6","de","1771508812","2022-03-18 16:29:34","2022-03-18 16:39:21","","TE","MI","08","3","2","2022-03-18 00:00:00","45","45","300","","3","4","3","4","3","4","0","4","3","1","4","3","1","4","4","0","3","3","3","","6","5","7","7","7","7","7","7","2","5","5","6","7","1","7","7","7","1","2","3","6","7","7","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","2","0","5","5","4","0","5","1","","","","","","","","5","1","","Sehr angenehm im Stadverkehr bei Start&Stop Verkehrslage auf dem mittleren Ring","","587.9","90.77","","","","","","","","","109.1","","","139.82","","","117.94","","","73.33","","","","56.94","","","","","",""
"47","2022-03-21 14:07:56","6","de","1354925053","2022-03-21 13:27:41","2022-03-21 14:07:56","","TH","BO","11","1","1","2022-03-21 00:00:00","45","45","40","","4","3","2","4","3","3","1","4","4","1","4","3","3","3","3","0","1","2","3","","7","4","7","7","7","7","7","7","4","4","7","7","7","4","7","7","7","1","5","3","5","6","6","","1","1","1","0","0","1","1","0","0","0","0","0","1","1","0","1","","0","0","1","1","3","0","2","0","","","","","","","","6","1","","Das System war generell sehr zuverlässig. Einmal behauptete es Höchstgeschwindigkeit 60, was falsch war -> Eingriff. Abstand und Tempomat sehr zuverlässig. Für ein blindes Vertrauen braucht es sicher noch ein paar 100 km.","","2412.57","236.73","","","","","","","","","997.15","","","599.76","","","158.84","","","166.79","","","","253.3","","","","","",""
"48","2022-03-21 17:12:10","6","de","488999255","2022-03-21 16:49:25","2022-03-21 17:12:10","","SE","LÜ","07","2","1","2022-03-21 00:00:00","70","55","35","","4","3","0","4","3","3","0","4","3","1","3","3","3","3","3","3","0","2","3","","5","6","6","5","6","6","5","6","5","5","4","6","5","4","6","5","6","2","4","3","6","6","1","","1","1","1","0","0","1","1","0","0","0","0","2","1","1","0","1","","0","0","2","0","0","0","1","0","","","","","","","","5","1","","Aktion des Systems in einer langen Baustelle war zumindest anfänglich unsicher.
Ich hatte den Eindruck, das Systems neigte hin und wieder zu einer Fahrt eher an den linken Rand zu fahren","Das Hineinfinden in die Systematik fiel relativ leicht, die Bedienung während des Fahrens wird sich wohl noch verbessern.","1365.67","450.56","","","","","","","","","205.47","","","238.21","","","144.33","","","118.85","","","","208.25","","","","","",""
"49","2022-03-22 10:28:00","6","de","973431458","2022-03-22 10:13:48","2022-03-22 10:27:59","","KA","CO","05","0","1","2022-03-21 00:00:00","60","60","50","","3","4","0","2","2","3","1","2","2","2","3","3","3","2","3","2","0","3","3","","6","5","6","6","5","7","7","6","6","5","5","6","6","6","6","6","6","2","4","3","6","5","5","","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","3","3","5","2","3","3","5","3","","","","","","","","5","1","","Beim L2 System vom BMW iX werden manchmal kurzfristig von vorne einscherende Autos nicht erkannt -> Eingreifen des Fahrers erforderlich.
Weiterhin wird manchmal beim angegebenen Spurwechsel zum Überholen des vorausfahrenden Fahrzeugs nicht auf die Geschwindigkeitsbegrenzung beschleunigt. Dies ist auffällig, wenn bei einer 3 spurigen Autobahn von ganz rechts auf die mittlere Spur gewechselt wird und zudem auf der linken Spur ein Fahrzeug nebenherfährt.","","851.69","102.65","","","","","","","","","92.97","","","162.97","","","122.87","","","66.22","","","","304.01","","","","","",""
