"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Einleitung","VP","AutoFahrt","DatumFahrt","DauerFahrt","L2AnteilFahrt","Probandencode[Vorname]","Probandencode[Strasse]","Probandencode[Tag]","DefGesamtsystem1","Vertrauen[TiA1]","Vertrauen[TiA2]","Vertrauen[TiA3]","Vertrauen[TiA4]","Vertrauen[TiA5]","Vertrauen[TiA6]","Vertrauen[TiA7]","Vertrauen[TiA8]","Vertrauen[TiA9]","Vertrauen[TiA10]","Vertrauen[TiA11]","Vertrauen[TiA12]","Vertrauen[TiA13]","Vertrauen[TiA14]","Vertrauen[TiA15]","Vertrauen[TiA16]","Vertrauen[TiA17]","Vertrauen[TiA18]","Vertrauen[TiA19]","DefGesamtsystem2","Akzeptanz[PE1]","Akzeptanz[PE3]","Akzeptanz[PE4]","Akzeptanz[EE1]","Akzeptanz[EE2]","Akzeptanz[EE3]","Akzeptanz[EE4]","Akzeptanz[ATT1]","Akzeptanz[ATT2]","Akzeptanz[ATT3]","Akzeptanz[ATT4]","Akzeptanz[FC1]","Akzeptanz[FC2]","Akzeptanz[FC3]","Akzeptanz[ITU1]","Akzeptanz[ITU2]","Akzeptanz[ITU3]","Akzeptanz[PS1]","Akzeptanz[PS2]","Akzeptanz[PS3]","Akzeptanz[PS4]","Akzeptanz[PS5]","Akzeptanz[PS6]","DefGesamtsystem3","Systemverstaendnis[1]","Systemverstaendnis[2]","Systemverstaendnis[3]","Systemverstaendnis[4]","Systemverstaendnis[5]","Systemverstaendnis[6]","Systemverstaendnis[7]","Systemverstaendnis[8]","Systemverstaendnis[9]","Systemverstaendnis[10]","Systemverstaendnis[11]","Systemverstaendnis[12]","Systemverstaendnis[13]","Systemverstaendnis[14]","Systemverstaendnis[15]","Systemverstaendnis[16]","DefGesamtsystem4","NDRTs[NDRT1]","NDRTs[NDRT2]","NDRTs[NDRT3]","NDRTs[NDRT4]","NDRTs[NDRT5]","NDRTs[NDRT6]","NDRTs[NDRT7]","NDRTs[NDRT8]","MatrixNDRTsFreitext[0_SQ001]","MatrixNDRTsFreitext[1_SQ001]","MatrixNDRTsFreitext[2_SQ001]","MatrixNDRTsFreitext[3_SQ001]","MatrixNDRTsFreitext[4_SQ001]","MatrixNDRTsFreitext[5_SQ001]","DefGesamtsystem5","SubjUeberwachguete[1]","SubjEinflussSetting","SubjEinflussSettKomm","Kommentare","SonstKommentare","interviewtime","groupTime6915","EinleitungTime","VPTime","AutoFahrtTime","DatumFahrtTime","DauerFahrtTime","L2AnteilFahrtTime","groupTime6921","ProbandencodeTime","groupTime6916","DefGesamtsystem1Time","VertrauenTime","groupTime6917","DefGesamtsystem2Time","AkzeptanzTime","groupTime6918","DefGesamtsystem3Time","SystemverstaendnisTime","groupTime6919","DefGesamtsystem4Time","NDRTsTime","MatrixNDRTsFreitextTime","groupTime6920","DefGesamtsystem5Time","SubjUeberwachgueteTime","SubjEinflussSettingTime","SubjEinflussSettKommTime","KommentareTime","SonstKommentareTime"
"14","","4","de","377200086","2022-02-25 16:18:17","2022-02-25 16:25:38","","1","1","2022-02-25 00:00:00","50","50","ka","rh","09","","4","4","4","4","4","4","0","4","4","0","3","0","4","4","0","0","4","4","4","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1","2","1","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442.44","51.18","","","","","","","34.07","","176.45","","","180.74","","","","","","","","","","","","","","","",""
"24","2022-03-03 16:53:45","7","de","1212936131","2022-03-03 16:42:14","2022-03-03 16:53:45","","2","1","2022-03-03 00:00:00","60","50","MA","SC","05","","4","4","0","4","3","3","0","4","4","0","4","4","3","4","3","0","0","2","3","","7","5","6","6","6","7","7","7","5","5","6","6","6","5","6","6","4","1","4","2","6","7","4","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","1","2","0","0","2","0","","","","","","","","6","1","","Beim Fahren gegen die Sonne schwächelt die Erkennungsgenauigkeit.
In Baustellen sind gelbe und weisse Markierungen nicht gut in ihrer Relevanz durch das System zu trennen.","","668.67","31.15","","","","","","","58.68","","109.41","","","123.31","","","120.13","","","45.47","","","","180.52","","","","","",""
"31","2022-03-07 17:05:55","7","de","328784547","2022-03-07 16:45:20","2022-03-07 17:05:55","","51","1","2022-03-07 00:00:00","75","40","LA","BE","01","","4","3","0","5","4","4","0","2","3","5","3","1","2","3","5","1","0","0","3","","4","2","5","5","6","3","6","4","2","5","3","1","6","4","2","1","2","3","6","6","3","2","3","","0","1","0","0","0","1","1","0","0","0","2","1","1","1","0","1","","0","0","4","4","4","0","5","1","","","","","","","","6","0","kürzere Abstände zum Vorausfahrenden
öfter überholt
vile öfter die Spur gewechselt (Mitte -> links, Mitte -> rechts) ","interessant","angenehme Atmosphäre","1235.69","20.84","","","","","","","72.25","","234.19","","","319.61","","","211.06","","","136.01","","","","241.73","","","","","",""
"32","2022-03-08 12:20:18","7","de","729944606","2022-03-08 10:10:20","2022-03-08 12:20:18","","52","1","2022-03-08 00:00:00","50","45","MO","FL","03","","4","3","3","5","3","3","1","5","3","5","4","2","4","3","4","1","3","2","3","","7","4","5","5","7","7","7","7","2","4","5","2","7","7","7","7","7","4","2","2","6","6","5","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","1","3","3","0","0","4","1","","","","","","","","5","1","","Das Fahrzeug wirkte unruhig wenn der Assistent aktiv war und ist nicht ""sanft"" in der Spur geblieben. Einige Korrekturen kamen spät aber dafür stärker. Kann ggf. an starken Winden gelegen haben. Insgesamt wirkte die Fahrt nicht so kontinuierlich ruhig als wenn ich selbst gelenkt hätte.","","7799.91","7274.13","","","","","","","19.39","","117.83","","","147.09","","","85.35","","","55.16","","","","100.96","","","","","",""
"37","2022-03-09 11:55:04","7","de","1776460345","2022-03-09 11:37:04","2022-03-09 11:55:03","","53","1","2022-03-09 00:00:00","50","48","es","re","05","","3","2","1","2","4","4","1","4","3","2","3","2","2","3","2","1","1","2","3","","7","4","4","4","6","5","6","7","4","4","6","6","7","7","7","7","7","1","5","2","6","4","2","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","0","0","3","3","3","0","4","3","","","","","","","","5","1","","Optische Hinweise (z.B. ""Hand ans Lenkrad"") sollten mit einem Warnton verbunden sein
Wird der Modus ""Ohne Hände"" nach Spurwechsel wieder aktiviert, sollte das ebenfalls mit einem akustischen Signal verbunden sein","","1081.45","38.31","","","","","","","69.25","","250.1","","","223.65","","","168.66","","","110.47","","","","221.01","","","","","",""
"40","2022-03-09 18:36:34","7","de","991252937","2022-03-09 18:16:00","2022-03-09 18:36:34","","54","1","2022-03-09 00:00:00","60","55","la","Mü","03","","3","3","0","3","3","3","0","3","3","0","4","3","2","3","2","0","0","5","3","","7","4","6","6","7","7","7","6","4","6","6","6","7","6","7","7","7","1","4","1","6","5","2","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","2","","0","0","4","3","3","1","3","0","","","","","","","","5","1","","Der tote Winkel wurde im Spiegel mittels Warnleuchte gut kompensiert","Das System müsste verhindern können, das ein rechts-überholen möglich wäre.","1235.26","30.59","","","","","","","71.56","","305.2","","","270.89","","","214.86","","","148.59","","","","193.57","","","","","",""
"41","2022-03-10 10:15:12","7","de","899831926","2022-03-10 10:07:26","2022-03-10 10:15:12","","55","1","2022-03-10 00:00:00","50","50","LA","MA","10","","3","4","4","4","3","4","1","4","4","1","4","3","3","3","2","1","3","4","4","","7","7","6","6","7","7","7","7","3","4","6","5","7","7","7","7","7","2","2","2","7","7","1","","0","1","2","0","0","1","1","1","0","0","0","1","0","1","0","1","","0","0","4","4","0","0","3","3","","","","","","","","6","1","","","","468.32","32.67","","","","","","","37.6","","107.26","","","113.93","","","102.42","","","53.83","","","","20.61","","","","","",""
"44","2022-03-11 16:58:43","7","de","503587209","2022-03-11 16:51:26","2022-03-11 16:58:43","","3","1","2022-03-11 00:00:00","55","54","RA","MÜ","01","","3","3","1","3","4","3","1","4","3","2","3","3","4","3","3","1","1","3","3","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","4","6","7","6","2","","0","1","1","0","0","1","1","0","0","0","0","1","1","1","0","1","","4","4","4","5","5","1","5","4","","","","","","","","5","1","","","","437.7","31.57","","","","","","","27.28","","101.76","","","122.19","","","82.95","","","50.88","","","","21.07","","","","","",""
"45","2022-03-14 12:19:46","7","de","58857532","2022-03-14 12:10:50","2022-03-14 12:19:46","","56","1","2022-03-14 00:00:00","55","55","la","in","12","","3","3","1","4","4","3","0","4","2","1","3","3","1","2","4","1","1","2","3","","6","5","5","5","5","5","6","6","3","4","6","4","6","6","7","7","4","2","4","1","5","5","3","","0","2","0","0","0","1","1","0","0","0","2","1","1","1","0","1","","0","0","3","3","1","0","2","1","","","","","","","","6","0","Manchmal hätte ich die Geschwindigkeit über die Richtgeschwindigkeit erhöht","","","537.14","21.47","","","","","","","31.84","","112.89","","","131.33","","","106.18","","","76.95","","","","56.48","","","","","",""
"46","2022-03-15 18:26:18","7","de","948464950","2022-03-15 18:08:24","2022-03-15 18:26:18","","57","1","2022-03-15 00:00:00","55","35","in","Pi","05","","3","4","1","5","4","3","1","4","3","5","2","1","1","2","4","2","1","3","3","","6","2","3","4","5","3","5","5","1","4","5","2","5","6","6","6","2","2","6","2","4","5","1","","0","1","2","0","0","1","1","0","0","0","2","1","1","1","2","2","","4","4","5","4","5","1","4","2","","","","","","","","5","0","ggf kurz Mails / Handy checken während der Fahrt ","Ich finde es ist bereits ein sehr gutes System, welches aber trotzdem die volle Aufmerksamkeit des Fahrers erfordert.
Man muss sich in das System etwas eingewöhnen und n bissl an den Knöpfen hin und herspielen, bis man wirklich erkennen kann,
wie das System bei welcher Interaktion reagiert.","Ergänzend zum heutigen Fahrerlebnis würde eine Testfahrt mit gleichzeitiger Einweisung für mich mehr Sinn ergeben und nicht nur als HandOut vor der Fahrt.
Mich persönlich iritierte das System während der Autobahnfahrt, als es nicht tat, was es sollte, als ich L2 starten oder wieder starten wollte.","1075.32","19.53","","","","","","","38.43","","220.49","","","193.46","","","121.44","","","105.83","","","","376.14","","","","","",""
