"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","VP-Nummer ","Gib an, zu welcher Fahrt dieses Interview geführt wird ","Gruppe A - Termin 2: H-on  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt  (VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-on  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ...(VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-off  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe A - Termin 2: H-off  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Gruppe B (H-off)  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe B (H-off)  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Sonstige Anmerkungen  kurze Notiz zu den Wetterbedingungen und zum Zustand der Straße machen:- Wetter: z.B. hell, bewölkt oder dämmrig, blauer Himmel oder ....- Straße: nass, feucht, schneebedeckt, trocken, ... ","Trigger  Haben Sie während der Fahrt den Triggerknopf gedrückt? Bitte führen Sie noch einmal aus, was Ihnen in diesem Moment aufgefallen ist, bzw. was sie uns mitteilen möchten. ","Fahrerinitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen - zum Beispiel beim Auffahren auf oder Abfahren von Autobahnen - haben Sie das System aktiviert oder deaktiviert, um damit in einen anderen Fahrmodus wechseln.Gab es hierbei Situationen oder Aspekte, über die Sie uns gerne mehr erzählen würden? ","Systeminitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen hat das System von sich L2 teilweise oder komplett deaktiviert oder Sie zu einer Übernahme aufgefordert.  Gab es hierbei Situationen, über die Sie uns gerne mehr erzählen würden? ","DMS  Wenn L2 aktiv war, gab es ein Fahrerbeobachtungssystem, das gewarnt hat, wenn Sie   	ON --&gt; die Hände zu lange vom Lenkrad genommen haben.oder 	OFF --&gt; zu lange von der Straße weggesehen haben.   Möchten Sie dieses Fahrerbeobachtungssystem noch einmal genauer kommentieren oder bewerten oder Ihre Erlebnisse mit dem Fahrerbeobachtungssystem beschreiben?  ","HMI  Für die Bedienung von L2 haben Sie verschiedene Tasten am Lenkrad verwendet. Je nach Systemzustand wurden Ihnen im Anschluss unterschiedliche Anzeigen im Kombi-Display (oder dem Head-up Display) angezeigt.  Möchten Sie allgemein die Bedienung des L2 Systems oder die verwendeten Anzeigen noch einmal genauer kommentieren bzw. bewerten? ","Systemverhalten  Während der Nutzung von L2 haben Sie die aktive Spurführung, die Geschwindigkeitskontrolle, das Halten des Abstandes und die Interaktion mit anderen Verkehrsteilnehmern in verschiedenen Situationen erlebt.  Möchten Sie dieses Fahrverhalten des Systems noch einmal genauer kommentieren bzw. bewerten oder Ihre Erlebnisse beschreiben? ","Bewertung L2  In diesem Versuch konnten Sie Erfahrungen mit L2 sammeln. Würden Sie dies auch gern in Ihrem privaten Fahrzeug nutzen? ","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Längsführung/ACC]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Querführung/Spurhaltung/Lenken]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [nur für A-2 &amp; B beantwortbarH-off/Hände frei nutzen können]","Bewertung L2  Stellen Sie sich vor, Ihr privates Fahrzeug wird mit einem L2 System ausgestattet.Hätten Sie lieber die Variante H-on oder die Variante H-off? ","Bewertung L2 Anmerkungen zu den vorigen Fragen/Antworten vom Probanden zur L2-Bewertung.","Haben Sie noch weitere Kommentare oder Anmerkungen zu der erlebten Fahrt mit L2?","Haben Sie noch weitere Kommentare oder Anmerkungen zu der Studie?","Gesamtzeit","Gruppenzeit: Metadaten","Fragenzeit: VP","Fragenzeit: Fahrt","Gruppenzeit: VL-Protokoll","Fragenzeit: AOnVP","Fragenzeit: AOnFzg","Fragenzeit: AOffVP","Fragenzeit: AOffFzg","Fragenzeit: BOffVP","Fragenzeit: BOffFzg","Fragenzeit: VLProtSonst","Gruppenzeit: Leitfaden","Fragenzeit: Trigger","Fragenzeit: FahrerTrans","Fragenzeit: SystemTrans","Fragenzeit: DMS","Fragenzeit: HMI","Fragenzeit: Systemverhalten","Fragenzeit: L2PrivNutzung","Fragenzeit: L2Komponenten","Fragenzeit: Ranking","Fragenzeit: L2BewertungKomm","Fragenzeit: Sonstiges","Fragenzeit: Studie"
"19","2022-03-07 17:18:28","3","de","606055612","2022-03-07 16:46:51","2022-03-07 17:18:28","51","Gruppe B (H-off)","","","","","relativ lange Eingewöhungsfahrt (in Baustelle Versuchsfahrt begonnen, Wenden in Ingolstadt Süd), 
wirkt routiniert beim Fahren (häufige Spurwechsel, teilweise geringer Abstand), 
Handposition scheint abh. von wahrgenommener Kritikalität, 1x übers System auf 160km/h beschleunigt, 
Wenn H-off wegen Geschwindigkeit zu H-on -> System deaktiviert und wieder aktiviert, 
Während Versuchsfahrt keine Aufmerksamkeitswarnung","Kommentar VP: etwas rucklige Lenkung, etwas weit rechts
2x Geschwindigkeitsbegrenzung aufgehoben vom Fzg nicht erkannt und dann durch Proband hochgesetzt","etwas zu kurze H-off Nutzung (ca. 40min) wegen langer EGF
relativ dichter Verkehr (kein Stau)
Ende Fahrt mit 3mal drücken gekennzeichnet","nein","System verleitet zu wenig Spurwechseln (ohne System wird dynamischer gefahren)
Lenkradtasten = etwas klein und zu unterschiedlich
","keine überraschenden Situation","DMS hat nie reagiert, Fahrer immer aufmerksamer","Bedienung zwar neu, aber verständlich. Aber nicht unbedingt selbsterklärend.
Nicht überladen
Blau gute Farbe","weicheres Lenkverhalten wäre wünschenswert
Längsführung gut","Eher nein","Eher ja","Eher ja","Eher nein","","generell H-off anstregender als manuell (weil aufpassen ob Hände ans Lenkrad genommen), führt schneller zu Ermüdung
kein völliges Entspannen möglich (System und Verkehr müssen überwacht werden)
Nicht bereit für das System Aufpreis zu zahlen (ggü. manuellem Fahren)
Spurführung als Back-Up (eher Spurverlassenswarner)
Assistenz soll immer untergeordnet sein","","","1896.83","7.85","","","240.75","","","","","","","","1648.23","","","","","","","","","","","",""
"20","2022-03-08 12:32:52","3","de","405002756","2022-03-08 10:12:03","2022-03-08 12:32:52","52","Gruppe B (H-off)","","","","","sehr souverän, nutzt Trigger-Button sehr viel
Deaktiviert immer über Button
Fuß anfangs über Gaspedal geschwebt, bei langer Rückfahrt dann davor abgestellt; Hände liegen fast immer auf Oberschenkel (außer H-on Teil)","in Baustelle: L2 deaktiviert (vermutlich weil LKW sehr nah ran fährt und Proband dann über Spurmarkierung fahren muss), lässt sich nicht reaktivieren (laut Proband)
Radio geht eine Weile nicht, VL und Proband versuchen es (dabei Proband 2x ""Straße beachten"" Warnung erhalten)
9 km Baustelle bei HInfahrt, bei RÜckfahrt auf diesem Streckenabschnitt 80 km/h
Rückweg: innerhalb von wenigen Minuten 1x wegen Spurmarkierung (+ Trigger-Knopf) und 2 x wegen knapp einscherendem Fahrzeug (+ bei 2. Mal Trigger-Knopf) erhöhte Übernahmebereitschaft (Hände an Lenkrad, Fuß auf Pedal)

","Proband bemerkt:
- Spurhaltung nicht sehr geschmeidig
- wär cool wenn Fahrzeug sagt ""ich bin dabei"", wenn es gerade versucht L2 zu aktivieren
- bemerkt ACC als besonders positiv
- 10er Geschwindigkeit hochschalten findet er seltsam, kann zwischen EIngabe für 1 und 10 schlecht unterscheiden
-  ","Wurde während der Fahrt immer direkt nach Trigger-Knopf drücken erläutert, ging um Verschiedenes (z.B. Kommentare zum HMI, wenn System etwas nicht so gemacht hat wie Proband es wollte,...)
Noch mal gesagt: 
- Insgesamt fühlt es sich an als fährt er eher unruhig bei Querführung, das einfach anders als ich fahren würde, das erzeugt im ersten Moment Skepsis, weil ich früher reagieren würde und man immer schauen muss ob System noch richtig reagiert
- Als in Baustelle LKW seine linke Markierung überfahren hat; das kann System natürlich nicht, ist so ne typische Situation wo das Auto das dann nicht erkennen / nicht reagieren kann würde ich vermuten. gibt ja kein perfektes System. 
","Ne, beim abfahren mach ichs halt auch weil ich das Gefühl hab das macht keinen Sinn mehr (gar nicht drüber nachgedacht, ob das System es kann). Vermute, dass Fahrzeug auf die Richtgeschwindigkeit beschleunigt und das will ich ja nicht, Ansonsten alles ziemlich seamless. ","In Baustelle gab es so eine Situation, da ist Ding einfach ausgegangen obwohl sich nichts geändert hat (wurde auch mit Trigger markiert). Das fand ich einfach eigenartig, warum es jetzt ausgeht. Ansonsten fänd ichs clever wenn es auch ein akustisches SIgnal gäbe wenn es mich auffordert wieder Kontrolle zu geben (nennt hier Übergang H-off zu H-on). wär akurtisch gut wie es bei DMS kam. ","Beim ersten Mal war ich überrascht aber war eigentlich gut. Da war ich mit Radio beschäftigt, ich glaube man unterschätzt wie lange man tatsächlich nicht auf die Straße schaut. Fand Hinweis gut, musste nur erst mal verarbeiten was System von mir will, war mir nicht bewusst dass es das gibt. ","Kipphebel für Geschwindigkeit nicht ganz intuitig die Unterscheidung zwischen 1er und 10er Schritten. Wär besser wenn das haptisch unterschieden wäre. Muss sonst dafür auf Dashboard gucken um zu schauen ob er das genommen hat. Dann Gefahr, dass man zu weit oben oder unten ist. Da verwendet man mehr Zeit drauf als man sollte. + warum in 1er Schritten, 5er würden reichen. Pseudogenauigkeit braucht es nicht. ","Bremsverhalten wenn man wo auffährt fand ich gut, sehr sanft und angenehm. 2 mal deutlich zu spät oder gar nicht reagiert als einer reingeschert ist. Hatte das Gefühl das System macht nix. Wenn System noch bissl mehr beschleunigt oder anderer gebremst hätte hätte System vermutlich versagt. Hätte mir da mehr Reaktion oder zumindest ne Warnung erhofft. 1 mal gelbe Verschwenkungen von Streifen weggefräst, da konnte System für ein paar Sekunden nicht mit umgehen, welchen folgt er. Beides erklärbar aber auffällig, wär besser wenn er nicht durcheinander kommt. ","Ja","Ja","Eher ja","Unsicher","","Ja, wills nutzen in meinem Fahrzeug, wenns bezahlbar ist. Finde ich gut und hilfreich, aber Längsführung noch wichtiger. 
Unsicher bei H-off: Erfahrung fehlt mir noch bisschen, war erstes Mal für mich heute und da bin ich skeptisch ob das überall so gut funktioniert. ","Ne ","Sehr gut aufbereitet und vorbereitet. ","8448.97","10.88","","","7512.42","","","","","","","","925.67","","","","","","","","","","","",""
"24","2022-03-09 12:19:11","3","de","211269890","2022-03-09 11:39:06","2022-03-09 12:19:11","53","Gruppe B (H-off)","","","","","Messtechnik war anfangs aus bis P+R Pfaffenhofen, viele Spurwechsel während der gesamten Fahrt, schaltet in der Trainingsfahrt viel rum an den Lenkradtasten, wollte anfangs in Baustelle bei H-Off Hände wegnehmen, Fahrmodus/-status muss salienter sein, Sprung in H-Off mit auditiven Signal verknüpfen, Warnung ""Hände ans Lenkrad"" bereits am Anfang mit Warnton verknüpfen, nach gewisser zeit ist das System sehr eingängig, Aufmerksamkeit bei L2 höher als bei L0, Überwindung H-Off zu vertrauen, anfängliche Verwirrung zwischen H-On und H-Off im HMI und allgemein, man erwartet nach Spurwechsel, dass das Fahrzeug sofort wieder in freihändig wechselt (man gewöhnt sich sehr schnell dran, einmal fast aus Fahrspur gekommen), HMI mit blauen Hintergrund zu homogen und es fällt bei Tag garnicht richtig auf wenn sich etwas wichtiges ändert","Warnmeldung Müdigkeit, DMS  hat eventuell nicht 100% funktioniert --> Hinfahrt (Richtung Manching) schon, es kam auch eine Warnmeldung bzgl. Müdigkeit, jedoch auf Rückweg bei mehrfachen langen Blickabwendungen keine Meldung und dann kam nach ein paar Minuten doch plötzlich einmal eine, dass man wieder auf die Straße schauen soll","-","Hände ans Lenkrad mit Warnton verknüpfen (optischer Hinweis wurde nicht gesehen) --> kurz erschrocken, man sieht es im Augenwinkel... akustisch würde helfen","bei Spurwechsel kurzzeitiger raus aus L2, bis man in Spur ist geht er wieder in L2, Übergangszeit verleitet dazu sich auf Spurhalten (L2) ebenfalls zu verlassen; oft reibungslos schnell funktioniert, manchmal nicht --> unklar warum nicht, wird nicht angezeigt ---> eine Situation wo man sich erschreckt hat als beinahe Spurverlassen; Fahrertransitionen haben allgemein gut funktioniert, entspanntes Fahren wenn man in eigener Spur bleibt; Langzeit wirkung bzgl Misuse fraglich","anfänglich Probleme mit Modi, seltene Systemtransitionen, wenn ja war es klar, Level 2 ohne Hände (blau), mit Hände (solange bis H-Off wieder verfügbar), manuelles Fahren,","Hände weg kam nicht, Müdigkeitsmeldung --> nicht verstanden warum; Provokation (langes wegschauen zur Seite) nicht funktioniert; ","Lenkradbedienung nicht ganz klar, Mitte und links oben nicht ganz einfach, Abstandsknopf und Geschwindigkeit klar; Kombianzeige wenig augenfällig (salient), blau ähnlich zu Amaturenbrett am Tag (gleich vermutlich kontrast besser), Veränderungen fallen kaum auf, Warnmeldungen fallen schon mehr auf aber auch zu wenig (farblich mehr salienter), Level 2 Icon unten rechts blau sehr klein, Auto in der Mitte okay; Bedienschritte und Anzeige nicht zu komplex; ","Systemverhalten allgemein sehr gut, Lenkverhalten bei Spurhaltung teilweise ruckartig (nicht smooth), Abstand einhalten sehr gut auch bei Einscherern, bei automatischen Spurwechseln eher wenig vertrauen; Spurwechsel zu viel Vertrauen in Spurhaltefunktion","Ja","Eher ja","Eher ja","Unsicher","","Hände weg ist komfortabler, L2 ist angenehm und hilfreich","-","-","2403.72","8.69","","","578.51","","","","","","","","1816.52","","","","","","","","","","","",""
"27","2022-03-09 19:01:55","3","de","243499162","2022-03-09 18:47:42","2022-03-09 19:01:55","54","Gruppe B (H-off)","","","","","Abstand toll; System würde rechts überholen --> unsicheres Systemverhalten; Proband deaktiviert L2, wenn System rechts überholen möchte, und bremst, danach wieder Aktivierung von L2; hält erstaunlich gut die Spur","-","-","System überholt rechts--> Proband empfindet es als unsicher und deaktiviert L2 durch Bremsen, damit dies verhindert wird --> System sollte dies automatisch berücksichtigen","Spurwechsel funktionieren sehr gut und System aktiviert sich schnell wieder, immer reagiert wie erwartet","Modi immer bekannt gut gelöst durch Wechsel zwischen Blau und Weiss","Warnmeldung zu Hände waren zu lange weg war klar ersichtlich, Eyes off kam nicht vor --> also nicht bewertbar","Bedienung über lenkradtasten sehr gut und Anzeige sehr übersichtlich, Wechsel zwischen blau und weiss gut erkennbar um zu sehen was sich ändert","allgemein sehr gutes Systemverhalten, Abstände und Spur werden gut gehalten, in Baustelle korrigiert das Fahrzeug stark die Spur, Spurwechsel sehr gut machbar","Ja","Ja","Ja","Ja","","H-off präferiert vor H-on, Acc und Lenken beides hilfreich","hat Spaß gemacht","-","853.97","14.34","","","415.27","","","","","","","","424.36","","","","","","","","","","","",""
"28","2022-03-10 10:26:46","3","de","1195400562","2022-03-10 10:11:50","2022-03-10 10:26:46","55","Gruppe B (H-off)","","","","","zunächst verwirrt, dass Fzg 133km/h übernimmt (Hinweis VL auf Kulanz +3km/h);
findet es nicht gut, dass Fzg automatisch hochregelt, z.B. wenn Geschwindigkeitsbegrenzung aufgehoben wird;
spielt viel mit Abstandseinstellungen und deren Auswirkungen auf das Bremsverhalten bei ACC herum;
2x EyesOff-Warnung","Baustelle: zunächst auf mittlerer Spur gefahren, daher kein L2 möglich; rechte Spur dann Wechsel zwischen H-off und H-on;
Fzg schwimmt bei höheren GEschwindigkeiten (133) mehr als bei niedrigeren (80/115);

nur kurze Eingewöhnungsfahrt bis Kleineisenbach (zwischen Kreuz Neufahrn und Allershausen);
Versuchsfahrt bis Manching","","","nein, immer sehr vorhersehbar wie System sich verhält. ","","H-off Warnung war gut und berechtigt. War nicht aggressiv oder intrusiv;","sehr intuitive, einfache Bedienung;
kurze Texte, war gut;
dass der gesamte Farbhintergrund wechselt, ist super - dnan kann man es auch peripher wahrnehmen;
das Icon ganz unten ist bisschen klein.","schwimmt bei höheren Geschwindigkeiten, ist etwas besorgniserregend, man kann sich vermutlich daran gewöhnen.; 
tlw sehr starkes Abbremsen, liegt wohl am Sicherheitsabstand - gefühlt sollte das nicht so stark abbremsen;
dass er höhere Geschwindigkeiten automatisch übernimmt, würde ich ausschalten wollen.","Ja","Ja","Ja","Ja","","Hände frei ist das beste überhaupt am System; 
es ist eine Hilfe, wenn man müde ist - ein bisschen wie Airbags.","sehr, sehr beeindruckt vom System","","897.2","7.52","","","308","","","","","","","","581.68","","","","","","","","","","","",""
"30","2022-03-11 15:19:04","3","de","1492778616","2022-03-11 15:08:41","2022-03-11 15:19:04","3","Gruppe A - Termin 2: H-on","","","","","","","sehr routiniert und sichere Fahrweise","Fahrzeug bremst automatisch runter bei Tempolimits --> Falscherkennung; LKW ausgeschert und manuell gebremst","-","durchgehend ohne Probleme gefahren; Modi immer verständlich, kritische Situation 1x bei ausscherendem LKW","Warnmeldung wie erwartet, hat das System 1x dahingehend provoziert","vom Start zu Ende deutlich intuitiver, alles okay, bekannt und übersichtlich","sehr positiv und vetrauenswürdig, Spurhaltung top, einscherender LKW als gefährlich eingestuft, automatischer Spurwechsel wünschenswert bei blinken durch Fahrer, Spurwechsel aber problemlos möglich","Ja","Ja","Ja","Unsicher","","-","-","","622.06","19.02","","","18.9","","","","","","","","584.14","","","","","","","","","","","",""
"32","2022-03-11 17:07:01","3","de","478315897","2022-03-11 16:53:00","2022-03-11 17:07:01","3","Gruppe A - Termin 2: H-off","sehr routiniert und sichere Fahrweise","-","V: Hände ans Lenkrad, wenn Fahrzeug weit rechts in Kurven; 1x Warnmeldung H-off und 1x Eyes-off","-","","","-","-","einmal war unklar ob man jetzt in L2 ist oder nicht obwohl man aktiviert---> zu lange gedauert bis blau wurde","gab keine","DMS ist gut; Warnmeldung bei wiedre Hände dran war gut, haptisch zusätzlich wäre auch gut aber nicht zwingend notwendig","Lenkradtasten anfänglich etwas schwierig, dann aber easy, Kombi Wechsel zwischen weiss und blau sehr gut, Umgebungsverkehr Anzeige wäre wünschenswert, ","System sehr vertrauenswürdig, macht einen zu sicher was gefährlich ist --> ""fährt ja von alleine"", super Fahrweise, positiv überrascht","Ja","Ja","Ja","Ja","H-off","-","-","interressant, schön zu erleben","840.62","11.72","","","122.5","","","","","","","","706.4","","","","","","","","","","","",""
"34","2022-03-14 12:30:02","3","de","559452680","2022-03-14 10:00:32","2022-03-14 12:30:02","56","Gruppe B (H-off)","","","","","System schnell und gut verstanden, wähend Versuchsfahrt ruhiger und souveräner Umgang
1x Blickabwendungswarnung während Eingewöhnungsfahrt
In Baustelle Hände nah am Lenkrad","1x zu spät auf Einscherer reagiert
in Baustelle 1x in H-on und 1x abgeworfen","","1. Fahrzeug links nicht überholt.
2. Baustelle: H-on Aufforderung","hat gut funktioniert, gerade auch der Spurwechsel
nicht gut erkannt: Einscherer kurz vor Ende nicht gut erkannt -> manueller Eingriff","Baustelle, sonst keine Deaktivierung","nur einmal erlebt, Ton als gut und passend beurteilt","Zwischenmeldung beim Spurwechsel: zwischen er macht sich bereit und aktiviert, nicht deutlich genug peripher wahrnehmbar","Zu Beginn etwas ""roboterartiger/zuckend"" Fahrstil -> ""man gewöhnt sich dran""","Eher ja","Unsicher","Ja","Ja","","Längsführung: Früher beschleunigen (wenn Vorderfahrzeug Spur wechselt), H-off gehört dazu","Sehr angenehm.","","8969.96","7950.42","","","122.46","","","","","","","","897.08","","","","","","","","","","","",""
"35","2022-03-15 18:42:28","3","de","1152058940","2022-03-15 18:10:11","2022-03-15 18:42:28","57","Gruppe B (H-off)","","","","","deaktiviert L2 vor Spurwechseln (nach links), Vermutung: um dichter auffahren zu können?;
zwischenzeitlich Mode Confustion: wudert sich über fehlende Spurhaltung, obwohl nicht aktiv;
fährt viel auf der linken Spur;
aktiviert und deaktiviert viel (Gründe werden im Interview noch erfragt);
VP hat trotz Abbruch-Warnung nur 1 Finger am Lenkrad und wendet sich zum Trigger ab, um die Warnung (""verstehe nicht, warum Abbruch..."") zu kommentieren --> Hinweis VL","Route: A9->A93 (bis 51 Elsendorf) wg. Baustelle und dichtem Verkehr - Strecke hat viele, rel. scharfe Kurven;
Fzg übernimmt nicht 80 bei Nässe, obwohl es regnet (vll zu wenig?);
bei Fürholzen: L2 Abbruch - vll wegen Regen?","","","","war überfordert bei Abbruch-Warnung.","---","man muss sich reinfuchsen; hatte am Anfang nicht ganz verstanden; hatte ""grün"" so verstanden, dass alles funktioniert: ""grünes"" ready + grünes Icon war verwirrend; hat nicht erkannt, dass das Icon ein anderes war als das L2 Icon (nämlich Spurhalteassistent)","er war mir zu nah rechts an der Linie, nimmt die Kurven zu eng","Eher ja","Eher nein","Nein","Eher nein","","kein Fan von ACC; war zu nah an Spuren dran;
wenn man dem System irgendwann vertraut, eher H-off, am Anfang definitiv nein, bleibt situationsabhängig, würde es eher nutzen, wenn alle anderen Autos auch so fahren","hat viel aktiviert und deaktiviert (und mit Abstand gespielt), um zu schauen, wie er reagiert in verschiedenen Situationen: unter welchen Voraussetzungen ich die eine Taste oder die andere Taste benutzen kann; ","Sicht nach vorne wegen Säulen eher eingeschränkt; Lenkung ist schwerfällig - da vielleicht anpassen.","1937.67","9.4","","","301.52","","","","","","","","1626.75","","","","","","","","","","","",""
"38","2022-03-16 18:19:17","3","de","216643881","2022-03-16 18:04:31","2022-03-16 18:19:17","58","Gruppe B (H-off)","","","","","häufige Spurwechsel; Switch von H-Off zu H-On in Baustelle sehr gut wahrgenommen und bewältigt, auch vice versa; Spurverlassenswarner kurz aufgekommen bei Spurwechsel weil nicht gut eingelenkt in die neue Spur","-","-","-","gegenlenken bei Aktivierung --> Reaktion vom System könnte schneller sein, sodass gegenlenken nicht notwendig; ","Wechsel von H-off zu H-on nachvollziehbar","bei Erstwarnung bereits akustisches signal wünschenswert","sehr übersichtlich, vor allem durch Farbwechsel weiß und blau, sehr aufgeräumt und nicht viele Infos in der Anzeige, Lenkradtasten sehr übersichtlich, gecchwindigkeoitseinsteller +1 und +10 etwas schwierig handhabbar,","zu aggressiv gebremst bei einscherern; Spurhalten sehr gut gelöst, theoretisch automatischer Spurwechsel wünschenswert, aktueller manueller Spurwechsel komfortabel ,da schnell wieder übernommen","Ja","Ja","Ja","Ja","","H-off bevorzugt","-","-","886.45","10.03","","","132.58","","","","","","","","743.84","","","","","","","","","","","",""
