"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Fahrzeug","Datum","ZeitBeginn","Dauer","Dauer[other]","Reiseroute"
"17","2022-02-28 15:38:41","1","de","208015063","2022-02-28 15:37:23","2022-02-28 15:38:41","VW","2022-02-28 00:00:00","1970-01-01 15:30:00","1","","Garching Haar Bruck"
"19","2022-02-28 15:39:47","1","de","414184476","2022-02-28 15:39:02","2022-02-28 15:39:47","VW","2022-02-28 00:00:00","1970-01-01 15:45:00","1","","GArching Haar Bruck"
"20","2022-03-01 08:07:32","1","de","1872043249","2022-03-01 08:06:08","2022-03-01 08:07:32","VW","2022-03-01 00:00:00","1970-01-01 08:00:00","1,5","","Bruck Haar Brunnthal Rosenheim Chiemsee Bruck "
"24","2022-03-02 12:36:17","1","de","77439084","2022-03-02 12:34:49","2022-03-02 12:36:17","VW","2022-03-02 00:00:00","1970-01-01 12:30:00","1,5","","Bruck A99 bei Haar  M-Ost A94 bis Mühldorf selber Weg zurück "
"25","2022-03-03 09:48:49","1","de","412293556","2022-03-03 09:47:40","2022-03-03 09:48:49","VW","2022-03-03 00:00:00","1970-01-01 10:00:00","0.5","","Bruck Ebersberg (tanken)"
"26","2022-03-03 13:09:29","1","de","1116614917","2022-03-03 13:08:46","2022-03-03 13:09:29","VW","2022-03-03 00:00:00","1970-01-01 15:15:00","1","","Bruck A99 Garching"
"31","2022-03-07 18:09:26","1","de","1783871054","2022-03-07 18:07:56","2022-03-07 18:09:26","VW","2022-03-07 00:00:00","1970-01-01 18:15:00","1,5","","A9 Garching Richtung Nürnberg und zurück "
"32","2022-03-08 16:47:23","1","de","1394519600","2022-03-08 16:46:39","2022-03-08 16:47:23","VW","2022-03-08 00:00:00","1970-01-01 16:45:00","1","","Ismaning -A99 - A8 Salzburg - zurück "
"33","2022-03-14 18:30:34","1","de","208136092","2022-03-14 18:29:47","2022-03-14 18:30:34","Porsc","2022-03-14 00:00:00","1970-01-01 18:30:00","1,5","","A99 - A8 - Fahrt Garching- Bad Feilnbach "
"35","2022-03-16 17:39:11","1","de","1352561972","2022-03-16 17:37:34","2022-03-16 17:39:11","Porsc","2022-03-16 00:00:00","1970-01-01 17:45:00","2.5","","A8 Bad Feilnbach - Irschenberg - A93 Oberaudorf - Bad Feilnbach "
"36","2022-03-16 17:40:15","1","de","797787204","2022-03-16 17:39:15","2022-03-16 17:40:15","Porsc","2022-03-16 00:00:00","1970-01-01 17:45:00","2.5","","A8 und A93 - Bad Feilnbach irschenberg Oberaudorf Bad Feilnbach "
"37","2022-03-17 15:07:30","1","de","1357115569","2022-03-17 15:07:02","2022-03-17 15:07:30","VW","2022-03-17 00:00:00","1970-01-01 15:00:00","1","","A92 Allershausen - Deggendorf - Allershausen"
"38","2022-03-18 14:59:15","1","de","1517969870","2022-03-18 14:58:43","2022-03-18 14:59:15","Porsc","2022-03-18 00:00:00","1970-01-01 15:00:00","1,5","","A8 Bad Feilnbach - Garching "
"40","2022-03-21 17:15:19","1","de","1700273016","2022-03-21 17:14:43","2022-03-21 17:15:19","BMW","2022-03-21 00:00:00","1970-01-01 17:15:00","1,5","","A9 Holzkirchen ab Garching"
"41","2022-03-22 14:22:19","1","de","1506263061","2022-03-22 14:20:58","2022-03-22 14:22:19","VW","2022-03-22 00:00:00","1970-01-01 14:45:00","1","","A8 Holzkirchen bis Bad Aibling und zurück"
"42","2022-03-22 14:49:09","1","de","584596817","2022-03-22 14:48:36","2022-03-22 14:49:09","BMW","2022-03-22 00:00:00","1970-01-01 14:45:00","1,5","","A9 Ingolstadt"
"46","2022-03-23 13:49:31","1","de","124171896","2022-03-23 13:48:28","2022-03-23 13:49:31","VW","2022-03-23 00:00:00","1970-01-01 13:45:00","1","","A8 Holzkirchen bis Ausfahrt Bad Aibling und zurück"
"47","2022-03-25 09:02:07","1","de","1870743486","2022-03-25 09:01:11","2022-03-25 09:02:07","VW","2022-03-25 00:00:00","1970-01-01 09:00:00","1","","A8 Holzkirchen - Garching "
"48","2022-03-27 10:35:10","1","de","94537420","2022-03-27 10:34:35","2022-03-27 10:35:10","BMW","2022-03-27 00:00:00","1970-01-01 10:45:00","1","","A99, A8 Irschenberg"
"49","2022-03-28 17:10:04","1","de","1226284377","2022-03-28 17:08:58","2022-03-28 17:10:04","Porsc","2022-03-28 00:00:00","1970-01-01 17:15:00","-oth-","3,5h","A92 bis München, A8 bis Karlsruhe und A5 bis Heidelberg"
"51","2022-03-29 13:26:32","1","de","467249254","2022-03-29 13:22:20","2022-03-29 13:26:32","Ford","2022-03-29 00:00:00","1970-01-01 11:15:00","1,5","","von Garching nach Lanshut, angehalten in Neufahrn, da Problem mit Assistenten, dann auf autobahn nach Landshut West und zurück bis ausfahrt Garching Süd. Fahrtzeit Autobahn ca 55 Minuten"
"52","2022-04-01 06:11:51","1","de","1486826642","2022-04-01 06:09:57","2022-04-01 06:11:51","Porsc","2022-04-01 00:00:00","1970-01-01 06:15:00","-oth-","3,5h","A5 Heidelberg-Karlsruhe, A8 Karlsruhe-München, A99 Münchener Kreuz, A9 München-Garching"
"55","2022-04-04 12:08:23","1","de","2081964652","2022-04-04 12:06:32","2022-04-04 12:08:23","Porsc","2022-04-04 00:00:00","1970-01-01 12:15:00","3","","A8 - A5"
"56","2022-04-04 12:10:38","1","de","459750952","2022-04-04 12:08:35","2022-04-04 12:10:38","Porsc","2022-04-04 00:00:00","1970-01-01 12:15:00","-oth-","Ca. 3 Std.","München - A8 - A5 - Heidelberg"
"60","2022-04-05 19:21:57","1","de","793228320","2022-04-05 19:21:05","2022-04-05 19:21:57","VW","2022-04-05 00:00:00","1970-01-01 19:15:00","2.5","","Garching-Regensburg-Garching"
"61","2022-04-07 16:42:56","1","de","2113513371","2022-04-07 16:42:04","2022-04-07 16:42:55","VW","2022-04-07 00:00:00","1970-01-01 16:45:00","1,5","","Eching-Manching-Eching"
"62","2022-04-11 10:50:58","1","de","1443441702","2022-04-11 10:50:17","2022-04-11 10:50:58","BMW","2022-04-11 00:00:00","1970-01-01 10:45:00","0.5","","Garching - Oberschleißheim "
"63","2022-04-11 14:05:15","1","de","283988646","2022-04-11 14:04:49","2022-04-11 14:05:15","BMW","2022-04-11 00:00:00","1970-01-01 14:00:00","2","","A92 Dingolfing "
"64","2022-04-12 07:32:55","1","de","1192878167","2022-04-12 07:32:16","2022-04-12 07:32:55","BMW","2022-04-12 00:00:00","1970-01-01 07:30:00","0.5","","A92 neufarn"
"65","2022-04-13 09:29:35","1","de","779078674","2022-04-13 09:29:13","2022-04-13 09:29:35","BMW","2022-04-13 00:00:00","1970-01-01 09:30:00","1,5","","A99 Stuttgart "
"66","2022-04-13 13:31:11","1","de","1002037729","2022-04-13 13:30:53","2022-04-13 13:31:10","BMW","2022-04-13 00:00:00","1970-01-01 13:30:00","0.5","","Garching "
"68","2022-04-19 08:14:20","1","de","2044824526","2022-04-19 08:13:42","2022-04-19 08:14:20","Ford","2022-04-19 00:00:00","1970-01-01 08:30:00","0.5","","A9"
"69","2022-04-19 11:12:07","1","de","1172120257","2022-04-19 11:11:05","2022-04-19 11:12:07","Ford","2022-04-19 00:00:00","1970-01-01 09:30:00","1","","A9 Garching - Denkendorf - Ingolstadt"
"71","2022-04-20 10:01:50","1","de","1034139610","2022-04-20 10:01:06","2022-04-20 10:01:49","Ford","2022-04-19 00:00:00","1970-01-01 20:30:00","1","","A9 Ingolstadt - Greding - Ingolstadt"
"72","2022-04-20 10:02:46","1","de","1208942175","2022-04-20 10:02:07","2022-04-20 10:02:46","Ford","2022-04-20 00:00:00","1970-01-01 10:00:00","1","","Ingolstadt (SB-Waschanlage)"
"73","2022-04-20 13:05:31","1","de","1816353484","2022-04-20 13:04:08","2022-04-20 13:05:31","Ford","2022-04-20 00:00:00","1970-01-01 13:15:00","2.5","","A9 Ingolstadt - Nürnberg - Ingolstadt"
"74","2022-04-21 08:13:27","1","de","872845270","2022-04-21 08:12:58","2022-04-21 08:13:27","Ford","2022-04-21 00:00:00","1970-01-01 08:15:00","1","","A9 Ingolstadt - Lenting - Ingolstadt - Garching"
"76","2022-04-25 09:12:08","1","de","1781558856","2022-04-25 09:11:13","2022-04-25 09:12:08","VW","2022-04-25 00:00:00","1970-01-01 09:15:00","0.5","","Probefahrt A9"
"77","2022-04-25 10:23:44","1","de","1767519705","2022-04-25 10:22:50","2022-04-25 10:23:44","VW","2022-04-25 00:00:00","1970-01-01 10:30:00","0.5","","Heimweg A92"
