"group","variable","n","0","1","2","3","4","5","6"
"A_on_fc","NDRTs.NDRT1.",29,10,9,2,6,2,0,0
"A_on_fc","NDRTs.NDRT2.",29,10,10,2,5,1,1,0
"A_on_fc","NDRTs.NDRT3.",29,1,2,3,8,5,10,0
"A_on_fc","NDRTs.NDRT4.",29,2,1,3,9,11,3,0
"A_on_fc","NDRTs.NDRT5.",29,3,6,2,9,7,2,0
"A_on_fc","NDRTs.NDRT6.",29,21,7,0,1,0,0,0
"A_on_fc","NDRTs.NDRT7.",29,1,3,5,6,7,7,0
"A_on_fc","NDRTs.NDRT8.",29,5,7,6,8,2,1,0
"A_on_fc","SubjUeberwachguete.1.",29,0,1,2,0,2,9,15
"A_on_fc","SubjEinflussSetting",29,6,23,0,0,0,0,0
"A_on_fc","L2PrivNutzung",0,0,0,0,0,0,0,0
"A_on_fc","L2Komponenten.Laengs.",0,0,0,0,0,0,0,0
"A_on_fc","L2Komponenten.Quer.",0,0,0,0,0,0,0,0
"A_on_fc","L2Komponenten.Hoff.",0,0,0,0,0,0,0,0
"A_on_fc","Ranking",0,0,0,0,0,0,0,0
"A_on_fam","NDRTs.NDRT1.",30,13,7,3,3,2,2,0
"A_on_fam","NDRTs.NDRT2.",30,17,7,1,4,1,0,0
"A_on_fam","NDRTs.NDRT3.",30,1,5,4,7,8,5,0
"A_on_fam","NDRTs.NDRT4.",30,1,1,8,10,5,5,0
"A_on_fam","NDRTs.NDRT5.",30,5,5,4,10,6,0,0
"A_on_fam","NDRTs.NDRT6.",30,25,3,2,0,0,0,0
"A_on_fam","NDRTs.NDRT7.",30,2,3,2,7,7,9,0
"A_on_fam","NDRTs.NDRT8.",30,7,9,4,6,3,1,0
"A_on_fam","SubjUeberwachguete.1.",30,1,0,2,4,2,5,16
"A_on_fam","SubjEinflussSetting",30,4,26,0,0,0,0,0
"A_on_fam","L2PrivNutzung",29,1,3,1,12,12,0,0
"A_on_fam","L2Komponenten.Laengs.",29,1,1,1,5,21,0,0
"A_on_fam","L2Komponenten.Quer.",29,3,5,4,9,8,0,0
"A_on_fam","L2Komponenten.Hoff.",0,0,0,0,0,0,0,0
"A_on_fam","Ranking",0,0,0,0,0,0,0,0
"A_off","NDRTs.NDRT1.",30,12,4,4,5,3,2,0
"A_off","NDRTs.NDRT2.",30,14,2,3,7,4,0,0
"A_off","NDRTs.NDRT3.",30,0,4,5,6,9,6,0
"A_off","NDRTs.NDRT4.",30,1,2,3,10,9,5,0
"A_off","NDRTs.NDRT5.",30,4,5,4,4,10,3,0
"A_off","NDRTs.NDRT6.",30,22,5,2,1,0,0,0
"A_off","NDRTs.NDRT7.",30,1,2,2,5,11,9,0
"A_off","NDRTs.NDRT8.",30,8,6,1,8,5,2,0
"A_off","SubjUeberwachguete.1.",30,0,0,0,1,5,8,16
"A_off","SubjEinflussSetting",30,7,23,0,0,0,0,0
"A_off","L2PrivNutzung",29,2,3,2,11,11,0,0
"A_off","L2Komponenten.Laengs.",29,0,0,0,6,23,0,0
"A_off","L2Komponenten.Quer.",29,0,6,2,8,13,0,0
"A_off","L2Komponenten.Hoff.",29,3,5,2,10,9,0,0
"A_off","Ranking",27,0,7,20,0,0,0,0
"B_off","NDRTs.NDRT1.",30,10,8,2,6,2,2,0
"B_off","NDRTs.NDRT2.",30,10,10,2,4,3,1,0
"B_off","NDRTs.NDRT3.",30,1,1,0,11,8,9,0
"B_off","NDRTs.NDRT4.",30,0,1,2,10,9,8,0
"B_off","NDRTs.NDRT5.",30,3,2,1,9,6,9,0
"B_off","NDRTs.NDRT6.",30,21,6,2,1,0,0,0
"B_off","NDRTs.NDRT7.",30,0,0,1,9,11,9,0
"B_off","NDRTs.NDRT8.",30,2,10,2,11,1,4,0
"B_off","SubjUeberwachguete.1.",30,0,0,0,1,3,16,10
"B_off","SubjEinflussSetting",30,11,19,0,0,0,0,0
"B_off","L2PrivNutzung",29,1,2,0,10,16,0,0
"B_off","L2Komponenten.Laengs.",29,0,1,1,5,22,0,0
"B_off","L2Komponenten.Quer.",29,1,3,0,6,19,0,0
"B_off","L2Komponenten.Hoff.",29,1,4,3,2,19,0,0
"B_off","Ranking",0,0,0,0,0,0,0,0
