"group","variable","n","0","1","2","3","4","5"
"A","Geschlecht",30,19,11,0,0,0,0
"A","Haendigkeit",30,30,0,0,0,0,0
"A","Sehschwaeche",30,14,16,0,0,0,0
"A","Farbfehlsichtigkeit",30,30,0,0,0,0,0
"A","Hoerschwaeche",30,30,0,0,0,0,0
"A","Fahrtfrequenz",30,0,0,5,13,12,0
"A","Fahrtstrecke",30,0,5,18,7,0,0
"A","FrequenzAutobahn",30,0,2,14,11,3,0
"A","StreckeAutobahn",30,0,12,15,3,0,0
"A","KenntnisAS.CC.",30,0,8,5,17,0,0
"A","KenntnisAS.ACC.",30,7,12,7,4,0,0
"A","KenntnisAS.Spurhalte.",30,6,20,4,0,0,0
"A","KenntnisAS.Stauassistent.",30,11,17,1,1,0,0
"A","KenntnisAS.ParkAssist.",30,7,18,5,0,0,0
"A","KenntnisAS.Teilautomation.",30,10,19,0,1,0,0
"B","Geschlecht",30,21,9,0,0,0,0
"B","Haendigkeit",30,27,2,1,0,0,0
"B","Sehschwaeche",30,15,15,0,0,0,0
"B","Farbfehlsichtigkeit",30,28,2,0,0,0,0
"B","Hoerschwaeche",30,29,0,1,0,0,0
"B","Fahrtfrequenz",30,0,0,5,13,12,0
"B","Fahrtstrecke",30,0,5,18,7,0,0
"B","FrequenzAutobahn",30,0,2,10,15,3,0
"B","StreckeAutobahn",30,0,10,17,3,0,0
"B","KenntnisAS.CC.",30,0,3,8,19,0,0
"B","KenntnisAS.ACC.",30,6,17,4,3,0,0
"B","KenntnisAS.Spurhalte.",30,7,19,4,0,0,0
"B","KenntnisAS.Stauassistent.",30,12,17,1,0,0,0
"B","KenntnisAS.ParkAssist.",30,7,20,3,0,0,0
"B","KenntnisAS.Teilautomation.",30,14,15,1,0,0,0
