"variable","group","n","mean","sd","median","min","max","frequencies"
"AutoFahrt","A_off",NA,NA,NA,NA,NA,NA,"OfB: 15, OfF: 15, OnB: 0, OnF: 0"
"AutoFahrt","A_on_fam",NA,NA,NA,NA,NA,NA,"OnP: 8, OnV: 8, OnB: 7, OnF: 7"
"AutoFahrt","A_on_fc",NA,NA,NA,NA,NA,NA,"OnP: 8, OnV: 8, OnB: 7, OnF: 7"
"AutoFahrt","B_off",NA,NA,NA,NA,NA,NA,"OfB: 15, OfF: 15, OnB: 0, OnF: 0"
"NDRTs.NDRT1.","A_off",30,1.63,1.69,1,0,5,"0: 12, 3: 5, 1: 4, 2: 4"
"NDRTs.NDRT1.","A_on_fam",30,1.33,1.6,1,0,5,"0: 13, 1: 7, 2: 3, 3: 3"
"NDRTs.NDRT1.","A_on_fc",29,1.34,1.34,1,0,4,"0: 10, 1: 9, 3: 6, 2: 2"
"NDRTs.NDRT1.","B_off",30,1.6,1.61,1,0,5,"0: 10, 1: 8, 3: 6, 2: 2"
"NDRTs.NDRT2.","A_off",30,1.5,1.59,1,0,4,"0: 14, 3: 7, 4: 4, 2: 3"
"NDRTs.NDRT2.","A_on_fam",30,0.83,1.21,0,0,4,"0: 17, 1: 7, 3: 4, 2: 1"
"NDRTs.NDRT2.","A_on_fc",29,1.31,1.39,1,0,5,"0: 10, 1: 10, 3: 5, 2: 2"
"NDRTs.NDRT2.","B_off",30,1.43,1.5,1,0,5,"0: 10, 1: 10, 3: 4, 4: 3"
"NDRTs.NDRT3.","A_off",30,3.27,1.34,3.5,1,5,"4: 9, 3: 6, 5: 6, 2: 5"
"NDRTs.NDRT3.","A_on_fam",30,3.03,1.45,3,0,5,"4: 8, 3: 7, 1: 5, 5: 5"
"NDRTs.NDRT3.","A_on_fc",29,3.52,1.43,4,0,5,"5: 10, 3: 8, 4: 5, 2: 3"
"NDRTs.NDRT3.","B_off",30,3.7,1.21,4,0,5,"3: 11, 5: 9, 4: 8, 0: 1"
"NDRTs.NDRT4.","A_off",30,3.3,1.26,3,0,5,"3: 10, 4: 9, 5: 5, 2: 3"
"NDRTs.NDRT4.","A_on_fam",30,3.07,1.26,3,0,5,"3: 10, 2: 8, 4: 5, 5: 5"
"NDRTs.NDRT4.","A_on_fc",29,3.21,1.29,3,0,5,"4: 11, 3: 9, 2: 3, 5: 3"
"NDRTs.NDRT4.","B_off",30,3.7,1.06,4,1,5,"3: 10, 4: 9, 5: 8, 2: 2"
"NDRTs.NDRT5.","A_off",30,2.67,1.65,3,0,5,"4: 10, 1: 5, 0: 4, 2: 4"
"NDRTs.NDRT5.","A_on_fam",30,2.23,1.41,3,0,4,"3: 10, 4: 6, 0: 5, 1: 5"
"NDRTs.NDRT5.","A_on_fc",29,2.59,1.5,3,0,5,"3: 9, 4: 7, 1: 6, 0: 3"
"NDRTs.NDRT5.","B_off",30,3.33,1.6,3.5,0,5,"3: 9, 5: 9, 4: 6, 0: 3"
"NDRTs.NDRT6.","A_off",30,0.4,0.77,0,0,3,"0: 22, 1: 5, 2: 2, 3: 1"
"NDRTs.NDRT6.","A_on_fam",30,0.23,0.57,0,0,2,"0: 25, 1: 3, 2: 2, 3: 0"
"NDRTs.NDRT6.","A_on_fc",29,0.34,0.67,0,0,3,"0: 21, 1: 7, 3: 1, 2: 0"
"NDRTs.NDRT6.","B_off",30,0.43,0.77,0,0,3,"0: 21, 1: 6, 2: 2, 3: 1"
"NDRTs.NDRT7.","A_off",30,3.67,1.35,4,0,5,"4: 11, 5: 9, 3: 5, 1: 2"
"NDRTs.NDRT7.","A_on_fam",30,3.37,1.56,4,0,5,"5: 9, 3: 7, 4: 7, 1: 3"
"NDRTs.NDRT7.","A_on_fc",29,3.24,1.46,3,0,5,"4: 7, 5: 7, 3: 6, 2: 5"
"NDRTs.NDRT7.","B_off",30,3.93,0.87,4,2,5,"4: 11, 3: 9, 5: 9, 2: 1"
"NDRTs.NDRT8.","A_off",30,2.07,1.7,2.5,0,5,"0: 8, 3: 8, 1: 6, 4: 5"
"NDRTs.NDRT8.","A_on_fam",30,1.73,1.46,1,0,5,"1: 9, 0: 7, 3: 6, 2: 4"
"NDRTs.NDRT8.","A_on_fc",29,1.93,1.36,2,0,5,"3: 8, 1: 7, 2: 6, 0: 5"
"NDRTs.NDRT8.","B_off",30,2.37,1.5,3,0,5,"3: 11, 1: 10, 5: 4, 0: 2"
"SubjUeberwachguete.1.","A_off",30,5.3,0.88,6,3,6,"6: 16, 5: 8, 4: 5, 3: 1"
"SubjUeberwachguete.1.","A_on_fam",30,4.83,1.62,6,0,6,"6: 16, 5: 5, 3: 4, 2: 2"
"SubjUeberwachguete.1.","A_on_fc",29,5.1,1.35,6,1,6,"6: 15, 5: 9, 2: 2, 4: 2"
"SubjUeberwachguete.1.","B_off",30,5.17,0.75,5,3,6,"5: 16, 6: 10, 4: 3, 3: 1"
"SubjEinflussSetting","A_off",30,0.77,0.43,1,0,1,"1: 23, 0: 7"
"SubjEinflussSetting","A_on_fam",30,0.87,0.35,1,0,1,"1: 26, 0: 4"
"SubjEinflussSetting","A_on_fc",29,0.79,0.41,1,0,1,"1: 23, 0: 6"
"SubjEinflussSetting","B_off",30,0.63,0.49,1,0,1,"1: 19, 0: 11"
"L2PrivNutzung","A_off",29,2.9,1.23,3,0,4,"3: 11, 4: 11, 1: 3, 0: 2"
"L2PrivNutzung","A_on_fam",29,3.07,1.1,3,0,4,"3: 12, 4: 12, 1: 3, 0: 1"
"L2PrivNutzung","A_on_fc",0,NA,NA,NA,Inf,-Inf,"0: 0, 1: 0, 2: 0, 3: 0"
"L2PrivNutzung","B_off",29,3.31,1.04,4,0,4,"4: 16, 3: 10, 1: 2, 0: 1"
"L2Komponenten.Laengs.","A_off",29,3.79,0.41,4,3,4,"4: 23, 3: 6, 0: 0, 1: 0"
