"variable","group","n","mean","sd","median","min","max","frequencies"
"Geschlecht","A",NA,NA,NA,NA,NA,NA,"0: 19, 1: 11"
"Geschlecht","B",NA,NA,NA,NA,NA,NA,"0: 21, 1: 9"
"Haendigkeit","A",NA,NA,NA,NA,NA,NA,"0: 30, 1: 0, 2: 0"
"Haendigkeit","B",NA,NA,NA,NA,NA,NA,"0: 27, 1: 2, 2: 1"
"Sehschwaeche","A",NA,NA,NA,NA,NA,NA,"1: 16, 0: 14"
"Sehschwaeche","B",NA,NA,NA,NA,NA,NA,"0: 15, 1: 15"
"Farbfehlsichtigkeit","A",NA,NA,NA,NA,NA,NA,"0: 30, 1: 0"
"Farbfehlsichtigkeit","B",NA,NA,NA,NA,NA,NA,"0: 28, 1: 2"
"Hoerschwaeche","A",NA,NA,NA,NA,NA,NA,"0: 30, 2: 0"
"Hoerschwaeche","B",NA,NA,NA,NA,NA,NA,"0: 29, 2: 1"
"Fahrtfrequenz","A",30,3.23,0.73,3,2,4,"3: 13, 4: 12, 2: 5"
"Fahrtfrequenz","B",30,3.23,0.73,3,2,4,"3: 13, 4: 12, 2: 5"
"Fahrtstrecke","A",30,2.07,0.64,2,1,3,"2: 18, 3: 7, 1: 5"
"Fahrtstrecke","B",30,2.07,0.64,2,1,3,"2: 18, 3: 7, 1: 5"
"FrequenzAutobahn","A",30,2.5,0.78,2,1,4,"2: 14, 3: 11, 4: 3, 1: 2"
"FrequenzAutobahn","B",30,2.63,0.76,3,1,4,"3: 15, 2: 10, 4: 3, 1: 2"
"StreckeAutobahn","A",30,1.7,0.65,2,1,3,"2: 15, 1: 12, 3: 3"
"StreckeAutobahn","B",30,1.77,0.63,2,1,3,"2: 17, 1: 10, 3: 3"
"KenntnisAS.CC.","A",30,2.3,0.88,3,1,3,"3: 17, 1: 8, 2: 5"
"KenntnisAS.CC.","B",30,2.53,0.68,3,1,3,"3: 19, 2: 8, 1: 3"
"KenntnisAS.ACC.","A",30,1.27,0.98,1,0,3,"1: 12, 0: 7, 2: 7, 3: 4"
"KenntnisAS.ACC.","B",30,1.13,0.86,1,0,3,"1: 17, 0: 6, 2: 4, 3: 3"
"KenntnisAS.Spurhalte.","A",30,0.93,0.58,1,0,2,"1: 20, 0: 6, 2: 4"
"KenntnisAS.Spurhalte.","B",30,0.9,0.61,1,0,2,"1: 19, 0: 7, 2: 4"
"KenntnisAS.Stauassistent.","A",30,0.73,0.69,1,0,3,"1: 17, 0: 11, 2: 1, 3: 1"
"KenntnisAS.Stauassistent.","B",30,0.63,0.56,1,0,2,"1: 17, 0: 12, 2: 1, 3: 0"
"KenntnisAS.ParkAssist.","A",30,0.93,0.64,1,0,2,"1: 18, 0: 7, 2: 5"
"KenntnisAS.ParkAssist.","B",30,0.87,0.57,1,0,2,"1: 20, 0: 7, 2: 3"
"KenntnisAS.Teilautomation.","A",30,0.73,0.64,1,0,3,"1: 19, 0: 10, 3: 1, 2: 0"
"KenntnisAS.Teilautomation.","B",30,0.57,0.57,1,0,2,"1: 15, 0: 14, 2: 1, 3: 0"
"Alter","A",30,42.97,18.11,35,21,75,NA
"Alter","B",30,36.33,13.89,30,21,70,NA
"Fuehrerschein","A",30,1996.2,17.68,2003.5,1964,2017,NA
"Fuehrerschein","B",30,2003,13.82,2009.5,1970,2017,NA
"DSQ_Speed","A",30,6.43,2.14,6,4,11,NA
"DSQ_Speed","B",30,6.57,2.3,6,3,12,NA
"DSQ_Calmness","A",30,15.7,2.05,16,9,18,NA
"DSQ_Calmness","B",30,15.3,2.29,16,9,18,NA
"DSQ_SocialResistance","A",30,6.27,2.42,6.5,2,12,NA
"DSQ_SocialResistance","B",30,5.07,1.44,5,2,8,NA
"DSQ_Focus","A",30,15.3,2.12,15,10,18,NA
"DSQ_Focus","B",30,14.9,2.6,15,10,18,NA
"DSQ_Planning","A",30,8.83,2.44,8.5,2,12,NA
"DSQ_Planning","B",30,7.57,2.93,8,2,12,NA
"DSQ_Deviance","A",30,5.2,1.3,5.5,2,7,NA
"DSQ_Deviance","B",30,5.1,1.49,5,3,8,NA
"ATIS","A",30,4.57,1.01,4.94,2,6,NA
"ATIS","B",30,4.75,0.82,4.78,3,6,NA
