"group","ADAS","VW","Opel","Mercedes","Ford","BMW","Audi","Skoda","Renault","Toyota","Seat","Hyundai","Fiat","Nissan","Peugeot","Mazda","Kia","Dacia","Citroen","Volvo","Mitsubishi","Saab","Landrover","Lexus","Jaguar","Mini","Suzuki","Tesla","MAN"
"A","CC",10,4,8,4,11,7,3,0,1,0,1,2,0,1,0,1,0,0,3,0,1,1,1,0,0,0,0,0
"A","ACC",3,1,1,1,6,2,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"A","LKA",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A","TJA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A","PA",2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A","L2",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","CC",9,5,12,6,14,5,6,4,5,4,2,2,1,2,1,1,2,1,4,1,0,0,0,1,1,1,2,0
"B","ACC",4,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"B","LKA",3,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","TJA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B","PA",1,0,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B","L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
